location,size,total_sqft,bath,price,bhk,price_per_sqft,bath_per_bhk,sqft_per_bhk
Yemlur,4 Bedroom,7000.0,5.0,1178.52,4,16836.0,1.25,1750.0
Hoodi,2 BHK,1112.0,2.0,99.13,2,8914.568345323742,1.0,556.0
Somasundara Palya,2 BHK,1178.0,2.0,57.92,2,4916.808149405772,1.0,589.0
Badavala Nagar,2 BHK,1274.0,2.0,81.17,2,6371.2715855573,1.0,637.0
Doddathoguru,2 BHK,915.0,2.0,33.6,2,3672.1311475409834,1.0,457.5
Hosur Road,1 BHK,760.0,1.0,59.56,1,7836.8421052631575,1.0,760.0
Maragondanahalli,3 BHK,1540.0,3.0,77.51,3,5033.116883116883,1.0,513.3333333333334
P&T Layout,2 BHK,1206.0,2.0,37.28,2,3091.2106135986733,1.0,603.0
Basavanna Nagar,3 BHK,1645.0,3.0,99.82,3,6068.085106382979,1.0,548.3333333333334
Canara Bank Layout,4 Bedroom,1200.0,4.0,71.63,4,5969.166666666667,1.0,300.0
singapura paradise,4 Bedroom,1200.0,4.0,152.47,4,12705.833333333334,1.0,300.0
Nehru Nagar,4 BHK,2342.0,3.0,125.02,4,5338.1725021349275,0.75,585.5
Kannur,3 BHK,1200.0,2.0,53.71,3,4475.833333333333,0.6666666666666666,400.0
Yelenahalli,2 BHK,1056.0,2.0,38.77,2,3671.4015151515155,1.0,528.0
Raja Rajeshwari Nagar,8 Bedroom,4800.0,8.0,224.54,8,4677.916666666667,1.0,600.0
Kanakpura Road,3 BHK,1450.0,3.0,72.33,3,4988.275862068966,1.0,483.3333333333333
Thirumenahalli,2 BHK,1161.0,2.0,41.51,2,3575.3660637381568,1.0,580.5
Dollars Colony,2 BHK,1097.0,2.0,124.27,2,11328.1677301732,1.0,548.5
Uttarahalli,2 BHK,850.0,2.0,35.12,2,4131.764705882352,1.0,425.0
Green Glen Layout,3 BHK,1715.0,3.0,117.85,3,6871.720116618076,1.0,571.6666666666666
Basavangudi,3 BHK,2300.0,3.0,231.75,3,10076.08695652174,1.0,766.6666666666666
Electronic City,2 BHK,1200.0,2.0,74.59,2,6215.833333333333,1.0,600.0
8th Phase JP Nagar,2 BHK,1080.0,2.0,48.44,2,4485.185185185185,1.0,540.0
Kasavanhalli,2 BHK,1200.0,2.0,68.21,2,5684.166666666666,1.0,600.0
4th Block Koramangala,4 Bedroom,2400.0,4.0,325.58,4,13565.833333333334,1.0,600.0
Banashankari,3 BHK,1400.0,2.0,121.8,3,8700.0,0.6666666666666666,466.6666666666667
Whitefield,4 Bedroom,1500.0,4.0,141.9,4,9460.0,1.0,375.0
Kanakpura Road,1 BHK,458.0,1.0,21.66,1,4729.257641921397,1.0,458.0
Marathahalli,2 BHK,1230.0,2.0,113.04,2,9190.243902439024,1.0,615.0
Kalyan nagar,3 BHK,1640.0,3.0,94.55,3,5765.243902439024,1.0,546.6666666666666
Banashankari,3 BHK,1700.0,3.0,148.63,3,8742.941176470587,1.0,566.6666666666666
Bommasandra,3 BHK,1478.0,2.0,61.29,3,4146.8200270636,0.6666666666666666,492.6666666666667
Defence Colony,4 BHK,6600.0,4.0,892.19,4,13518.030303030304,1.0,1650.0
Banashankari,2 BHK,1020.0,2.0,86.56,2,8486.274509803921,1.0,510.0
Nagarbhavi,2 Bedroom,1200.0,2.0,101.88,2,8490.0,1.0,600.0
Yelahanka,3 BHK,1275.0,2.0,101.77,3,7981.9607843137255,0.6666666666666666,425.0
Cambridge Layout,4 Bedroom,1600.0,3.0,203.74,4,12733.75,0.75,400.0
Kanakapura,2 BHK,1110.0,2.0,52.94,2,4769.369369369369,1.0,555.0
Uttarahalli,3 BHK,1627.86,3.0,66.25,3,4069.760298797194,1.0,542.62
Byagadadhenahalli,2 BHK,620.0,2.0,23.02,2,3712.9032258064517,1.0,310.0
Whitefield,4 Bedroom,3004.0,4.0,269.58,4,8974.034620505992,1.0,751.0
Hosa Road,2 BHK,1133.0,2.0,52.59,2,4641.6593115622245,1.0,566.5
Hennur Road,2 BHK,1182.0,2.0,71.7,2,6065.989847715736,1.0,591.0
Tumkur Road,3 BHK,1500.0,3.0,96.08,3,6405.333333333333,1.0,500.0
Hebbal Kempapura,4 BHK,3900.0,5.0,371.44,4,9524.102564102564,1.25,975.0
Marathahalli,2 BHK,1200.0,2.0,112.25,2,9354.166666666666,1.0,600.0
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,49.52,2,4390.070921985815,1.0,564.0
Jayanagar,2 BHK,900.0,2.0,106.52,2,11835.555555555555,1.0,450.0
Amruthahalli,2 BHK,1100.0,2.0,53.18,2,4834.545454545455,1.0,550.0
Kengeri Satellite Town,2 BHK,635.0,1.0,24.91,2,3922.834645669291,0.5,317.5
Ardendale,4 BHK,2062.0,3.0,120.07,4,5822.9873908826385,0.75,515.5
Thanisandra,3 BHK,1874.0,4.0,151.08,3,8061.899679829243,1.3333333333333333,624.6666666666666
Old Madras Road,2 BHK,1171.0,2.0,65.7,2,5610.589239965841,1.0,585.5
Sarjapur,3 BHK,2020.0,3.0,181.48,3,8984.158415841584,1.0,673.3333333333334
8th Phase JP Nagar,2 BHK,1059.0,2.0,44.65,2,4216.241737488196,1.0,529.5
Panathur,3 BHK,1315.0,2.0,128.27,3,9754.372623574145,0.6666666666666666,438.3333333333333
Jakkur,3 BHK,1760.0,3.0,114.12,3,6484.090909090909,1.0,586.6666666666666
Sampangi Rama Nagar,2 Bedroom,1200.0,2.0,114.67,2,9555.833333333334,1.0,600.0
Hennur Road,3 BHK,1192.0,2.0,70.21,3,5890.100671140939,0.6666666666666666,397.3333333333333
Hebbal,3 BHK,1645.0,3.0,170.98,3,10393.920972644377,1.0,548.3333333333334
Whitefield,2 BHK,1250.0,2.0,113.55,2,9084.0,1.0,625.0
Whitefield,1 BHK,709.0,1.0,61.43,1,8664.315937940763,1.0,709.0
Whitefield,2 BHK,1340.0,2.0,123.29,2,9200.746268656716,1.0,670.0
Cooke Town,3 BHK,2388.0,4.0,330.5,3,13840.03350083752,1.3333333333333333,796.0
Hosa Road,2 BHK,1369.1,2.0,65.68,2,4797.312102841283,1.0,684.55
Jalahalli West,2 BHK,1355.0,2.0,69.19,2,5106.273062730627,1.0,677.5
Bannerghatta Road,2 BHK,1150.0,2.0,102.38,2,8902.608695652174,1.0,575.0
Kanakapura,3 BHK,1938.0,3.0,91.47,3,4719.814241486068,1.0,646.0
Begur Road,4 BHK,2462.0,4.0,178.4,4,7246.141348497157,1.0,615.5
Budigere,3 BHK,1636.0,3.0,82.59,3,5048.288508557457,1.0,545.3333333333334
Akshaya Nagar,3 BHK,1430.0,2.0,112.76,3,7885.314685314685,0.6666666666666666,476.6666666666667
BEML Layout 5th stage,3 BHK,2000.0,3.0,88.72,3,4436.0,1.0,666.6666666666666
Electronic City Phase II,3 BHK,993.0,2.0,31.16,3,3137.965760322256,0.6666666666666666,331.0
Laggere,4 Bedroom,1260.0,4.0,90.96,4,7219.047619047619,1.0,315.0
Kanakpura Road,3 BHK,1700.0,3.0,88.32,3,5195.294117647059,1.0,566.6666666666666
Yelahanka,2 BHK,1270.0,2.0,98.45,2,7751.968503937008,1.0,635.0
Anjanapura,3 Bedroom,1500.0,3.0,54.86,3,3657.3333333333335,1.0,500.0
Koramangala,3 BHK,2300.0,3.0,324.85,3,14123.913043478262,1.0,766.6666666666666
Hunasamaranahalli,4 Bedroom,7500.0,4.0,1169.4,4,15592.000000000002,1.0,1875.0
Marathahalli,3 BHK,1650.0,3.0,149.87,3,9083.030303030304,1.0,550.0
Panathur,2 BHK,1109.0,2.0,108.55,2,9788.09738503156,1.0,554.5
Pragathi Nagar,2 BHK,1280.0,2.0,50.91,2,3977.34375,1.0,640.0
Sarjapur,4 Bedroom,2885.0,3.0,267.41,4,9268.977469670712,0.75,721.25
Devanahalli,3 Bedroom,1600.0,3.0,79.82,3,4988.749999999999,1.0,533.3333333333334
Kothanur,3 BHK,1462.0,3.0,74.83,3,5118.331053351573,1.0,487.3333333333333
Marathahalli,1 BHK,607.0,1.0,54.42,1,8965.403624382208,1.0,607.0
Kammasandra,2 BHK,930.0,2.0,28.44,2,3058.064516129032,1.0,465.0
Varthur,4 Bedroom,4500.0,5.0,462.96,4,10288.0,1.25,1125.0
Malleshwaram,3 BHK,2600.0,3.0,349.18,3,13430.0,1.0,866.6666666666666
JP Nagar,4 BHK,3000.0,4.0,283.77,4,9459.0,1.0,750.0
Electronic City Phase II,3 BHK,1418.0,3.0,42.98,3,3031.0296191819466,1.0,472.6666666666667
Ramesh Nagar,2 Bedroom,4200.0,1.0,316.26,2,7530.0,0.5,2100.0
EPIP Zone,2 BHK,1125.0,2.0,73.44,2,6528.0,1.0,562.5
CV Raman Nagar,3 BHK,1825.0,3.0,98.42,3,5392.876712328767,1.0,608.3333333333334
Whitefield,2 BHK,1320.0,2.0,120.09,2,9097.727272727272,1.0,660.0
JP Nagar,4 Bedroom,3000.0,4.0,288.63,4,9621.0,1.0,750.0
HAL 2nd Stage,3 BHK,1490.0,2.0,312.3,3,20959.731543624162,0.6666666666666666,496.6666666666667
8th block Koramangala,4 Bedroom,1650.0,3.0,258.24,4,15650.90909090909,0.75,412.5
Whitefield,2 BHK,750.0,2.0,67.84,2,9045.333333333334,1.0,375.0
Yelahanka,3 BHK,1400.0,2.0,113.85,3,8132.142857142857,0.6666666666666666,466.6666666666667
Sathya Sai Layout,4 BHK,4104.0,4.0,426.45,4,10391.08187134503,1.0,1026.0
Rajaji Nagar,4 BHK,5000.0,4.0,754.5,4,15090.0,1.0,1250.0
Mahadevpura,5 Bedroom,3295.0,4.0,165.64,5,5027.010622154779,0.8,659.0
Whitefield,3 Bedroom,1200.0,3.0,111.28,3,9273.333333333334,1.0,400.0
Poorna Pragna Layout,2 BHK,965.0,2.0,38.82,2,4022.79792746114,1.0,482.5
Gottigere,1 Bedroom,812.0,1.0,34.4,1,4236.453201970443,1.0,812.0
KR Puram,2 BHK,1100.0,2.0,73.86,2,6714.545454545455,1.0,550.0
Whitefield,2 BHK,1180.0,2.0,101.29,2,8583.898305084746,1.0,590.0
HSR Layout,2 BHK,1145.0,2.0,122.6,2,10707.423580786026,1.0,572.5
Haralur Road,2 BHK,1027.0,2.0,94.74,2,9224.926971762416,1.0,513.5
Silk Board,2 BHK,1215.0,2.0,51.48,2,4237.037037037037,1.0,607.5
Hegde Nagar,2 Bedroom,1200.0,2.0,81.29,2,6774.166666666668,1.0,600.0
Kenchenahalli,2 BHK,1015.0,2.0,52.49,2,5171.428571428572,1.0,507.5
Kaggalipura,3 Bedroom,2400.0,3.0,130.9,3,5454.166666666667,1.0,800.0
Whitefield,4 Bedroom,3000.0,4.0,275.91,4,9197.000000000002,1.0,750.0
7th Phase JP Nagar,3 Bedroom,3300.0,4.0,225.72,3,6840.0,1.3333333333333333,1100.0
Puttanahalli,2 BHK,1076.0,2.0,51.0,2,4739.776951672862,1.0,538.0
JP Nagar,2 BHK,1300.0,2.0,119.09,2,9160.76923076923,1.0,650.0
Hebbal Kempapura,2 BHK,1300.0,2.0,115.95,2,8919.23076923077,1.0,650.0
Hosa Road,3 BHK,1512.0,3.0,74.35,3,4917.328042328042,1.0,504.0
Bhoganhalli,3 BHK,1053.4,3.0,62.25,3,5909.4361116385035,1.0,351.1333333333334
Yeshwanthpur,1 BHK,605.0,1.0,32.41,1,5357.024793388429,1.0,605.0
Hormavu,2 BHK,1153.0,2.0,53.99,2,4682.567215958369,1.0,576.5
Virat Nagar,2 Bedroom,2080.0,2.0,96.93,2,4660.096153846154,1.0,1040.0
Hulimavu,2 BHK,1255.0,2.0,69.19,2,5513.147410358566,1.0,627.5
Marathahalli,3 BHK,1583.0,3.0,146.11,3,9229.94314592546,1.0,527.6666666666666
Kundalahalli Colony,2 BHK,1505.0,2.0,81.01,2,5382.724252491695,1.0,752.5
Kathriguppe,3 BHK,1365.0,2.0,78.58,3,5756.776556776556,0.6666666666666666,455.0
Dwarka Nagar,3 Bedroom,1200.0,3.0,79.16,3,6596.666666666667,1.0,400.0
Amblipura,3 BHK,1810.0,4.0,124.62,3,6885.082872928177,1.3333333333333333,603.3333333333334
Magadi Road,1 Bedroom,440.0,1.0,19.75,1,4488.636363636364,1.0,440.0
Subramanyapura,2 BHK,975.0,2.0,51.89,2,5322.051282051282,1.0,487.5
Doddagubbi,2 BHK,1250.0,2.0,61.15,2,4892.0,1.0,625.0
Gopalkrishna Nagar,3 BHK,1530.0,2.0,93.1,3,6084.967320261438,0.6666666666666666,510.0
Kereguddadahalli,3 BHK,1300.0,2.0,45.02,3,3463.076923076923,0.6666666666666666,433.3333333333333
Channasandra,2 BHK,1115.0,2.0,39.98,2,3585.650224215246,1.0,557.5
Sarjapur  Road,2 BHK,1308.0,2.0,75.39,2,5763.761467889908,1.0,654.0
Parappana Agrahara,2 BHK,1194.0,2.0,46.23,2,3871.859296482412,1.0,597.0
Uttarahalli,3 BHK,1490.0,2.0,61.84,3,4150.335570469799,0.6666666666666666,496.6666666666667
Bannerghatta Road,4 Bedroom,10000.0,4.0,965.5,4,9655.0,1.0,2500.0
Sarjapur  Road,3 BHK,1592.0,3.0,95.84,3,6020.100502512563,1.0,530.6666666666666
Rajaji Nagar,2 BHK,1222.0,2.0,172.55,2,14120.294599018003,1.0,611.0
Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,54.42,2,4295.185477505919,1.0,633.5
Balagere,1 BHK,656.0,1.0,39.07,1,5955.792682926829,1.0,656.0
Dodda Nekkundi,4 Bedroom,3400.0,4.0,159.12,4,4680.0,1.0,850.0
Garudachar Palya,4 BHK,4500.0,5.0,228.33,4,5074.0,1.25,1125.0
Chandapura,2 Bedroom,1200.0,1.0,69.89,2,5824.166666666667,0.5,600.0
Thanisandra,3 BHK,1698.0,3.0,137.3,3,8085.98351001178,1.0,566.0
Tata Nagar,3 BHK,1500.0,3.0,70.86,3,4724.0,1.0,500.0
Sunkadakatte,4 Bedroom,2000.0,5.0,104.84,4,5242.0,1.25,500.0
Electronic City,2 BHK,1152.0,2.0,67.42,2,5852.430555555556,1.0,576.0
Raja Rajeshwari Nagar,1 BHK,550.0,1.0,22.47,1,4085.4545454545455,1.0,550.0
Pattandur Agrahara,2 BHK,900.0,2.0,44.87,2,4985.555555555556,1.0,450.0
Rajarajeshwari nagar,3 BHK,1410.0,2.0,57.06,3,4046.808510638298,0.6666666666666666,470.0
Akshaya Nagar,3 BHK,1419.0,2.0,115.02,3,8105.708245243129,0.6666666666666666,473.0
Amruthahalli,2 BHK,1200.0,2.0,58.16,2,4846.666666666667,1.0,600.0
AECS Layout,3 BHK,1800.0,3.0,89.32,3,4962.222222222223,1.0,600.0
Gottigere,2 BHK,990.0,2.0,44.59,2,4504.040404040404,1.0,495.0
Sarjapur  Road,2 BHK,1016.0,2.0,55.76,2,5488.188976377953,1.0,508.0
Bannerghatta Road,2 BHK,1100.0,2.0,96.55,2,8777.272727272728,1.0,550.0
Whitefield,2 BHK,1095.0,2.0,90.83,2,8294.977168949772,1.0,547.5
Rajarajeshwarinagar,3 BHK,2000.0,3.0,318.14,3,15907.0,1.0,666.6666666666666
Budigere,2 BHK,1444.0,2.0,71.25,2,4934.210526315789,1.0,722.0
Whitefield,2 BHK,1415.0,2.0,125.4,2,8862.190812720848,1.0,707.5
Jinkethimmanahalli,3 Bedroom,1500.0,2.0,111.98,3,7465.333333333333,0.6666666666666666,500.0
Daadys Gaarden Layout,3 BHK,1600.0,3.0,76.1,3,4756.249999999999,1.0,533.3333333333334
Whitefield,2 BHK,1105.0,2.0,99.68,2,9020.81447963801,1.0,552.5
Electronic City,3 BHK,1225.0,3.0,74.87,3,6111.836734693878,1.0,408.3333333333333
Frazer Town,3 BHK,2560.0,3.0,326.22,3,12742.968750000002,1.0,853.3333333333334
Kanakpura Road,2 BHK,1080.0,2.0,53.97,2,4997.222222222223,1.0,540.0
Dasarahalli,7 Bedroom,2400.0,3.0,165.98,7,6915.833333333332,0.42857142857142855,342.85714285714283
Talaghattapura,3 BHK,1856.0,3.0,112.08,3,6038.793103448276,1.0,618.6666666666666
Haralur Road,3 BHK,1464.0,3.0,141.38,3,9657.103825136612,1.0,488.0
Vishwapriya Nagar,6 Bedroom,2100.0,6.0,128.86,6,6136.190476190477,1.0,350.0
Sarjapur  Road,2 BHK,1150.0,2.0,69.98,2,6085.217391304348,1.0,575.0
5th Phase JP Nagar,3 BHK,1485.0,2.0,74.0,3,4983.164983164983,0.6666666666666666,495.0
Vimanapura,3 BHK,2500.0,3.0,91.58,3,3663.2,1.0,833.3333333333334
Whitefield,2 Bedroom,1200.0,2.0,109.79,2,9149.166666666666,1.0,600.0
Hennur Road,2 BHK,1036.0,2.0,57.82,2,5581.081081081081,1.0,518.0
Whitefield,4 Bedroom,3445.0,5.0,337.61,4,9800.0,1.25,861.25
Dodsworth Layout,2 BHK,1400.0,2.0,87.11,2,6222.142857142857,1.0,700.0
Bommanahalli,2 BHK,1110.0,2.0,84.34,2,7598.198198198198,1.0,555.0
Kodichikkanahalli,2 BHK,1150.0,2.0,52.84,2,4594.782608695652,1.0,575.0
Kenchenahalli,1 BHK,715.0,1.0,36.67,1,5128.671328671328,1.0,715.0
Magadi Road,4 Bedroom,1200.0,4.0,59.5,4,4958.333333333333,1.0,300.0
Jakkur,4 BHK,2283.0,4.0,147.82,4,6474.813841436706,1.0,570.75
Hormavu,3 BHK,1453.0,2.0,74.81,3,5148.657949070888,0.6666666666666666,484.3333333333333
Nagarbhavi,3 BHK,1400.0,2.0,120.11,3,8579.285714285714,0.6666666666666666,466.6666666666667
Padmanabhanagar,3 BHK,1400.0,3.0,82.64,3,5902.857142857143,1.0,466.6666666666667
Whitefield,3 BHK,1700.0,3.0,146.18,3,8598.823529411764,1.0,566.6666666666666
Kanakpura Road,3 BHK,1591.0,3.0,85.09,3,5348.208673790069,1.0,530.3333333333334
Nagarbhavi,3 BHK,1515.0,2.0,137.14,3,9052.145214521452,0.6666666666666666,505.0
Marathahalli,5 Bedroom,2500.0,3.0,241.1,5,9644.0,0.6,500.0
Chandapura,2 BHK,975.0,2.0,59.48,2,6100.51282051282,1.0,487.5
Yeshwanthpur,3 BHK,1382.0,2.0,79.17,3,5728.654124457308,0.6666666666666666,460.6666666666667
Sector 1 HSR Layout,3 BHK,1533.0,3.0,141.01,3,9198.303979125896,1.0,511.0
Cunningham Road,3 BHK,3815.0,3.0,778.15,3,20397.116644823065,1.0,1271.6666666666667
Amarjyothi Colony,2 BHK,1100.0,2.0,42.7,2,3881.818181818182,1.0,550.0
Dairy Circle,4 BHK,3730.0,6.0,471.51,4,12641.018766756033,1.5,932.5
Banashankari Stage II,3 BHK,1500.0,2.0,178.26,3,11884.0,0.6666666666666666,500.0
Yelahanka,3 BHK,1391.0,2.0,116.83,3,8398.993529834652,0.6666666666666666,463.6666666666667
Begur Road,2 BHK,1160.0,2.0,79.48,2,6851.724137931034,1.0,580.0
Chandapura,1 BHK,620.0,1.0,35.3,1,5693.548387096774,1.0,620.0
MS Pallya,8 Bedroom,2400.0,9.0,172.13,8,7172.083333333333,1.125,300.0
Whitefield,4 Bedroom,4827.0,4.0,470.97,4,9756.991920447483,1.0,1206.75
Kanakpura Road,3 BHK,1482.0,3.0,74.04,3,4995.951417004049,1.0,494.0
Whitefield,2 BHK,1405.0,2.0,127.8,2,9096.08540925267,1.0,702.5
Gunjur,2 BHK,1190.0,2.0,51.04,2,4289.075630252101,1.0,595.0
Harlur,2 BHK,1174.0,2.0,111.24,2,9475.298126064736,1.0,587.0
Seegehalli,2 Bedroom,1155.0,2.0,58.03,2,5024.242424242424,1.0,577.5
Thanisandra,3 BHK,1411.0,3.0,115.22,3,8165.839829907867,1.0,470.3333333333333
Jalahalli West,2 BHK,745.0,2.0,38.08,2,5111.4093959731545,1.0,372.5
Kereguddadahalli,2 BHK,1000.0,2.0,32.1,2,3210.0,1.0,500.0
Jigani,2 BHK,923.0,2.0,50.64,2,5486.457204767064,1.0,461.5
Yeshwanthpur,2 BHK,1000.0,2.0,53.97,2,5397.0,1.0,500.0
Battarahalli,2 BHK,1276.0,2.0,64.58,2,5061.128526645768,1.0,638.0
Devasthanagalu,3 BHK,1460.0,3.0,66.68,3,4567.123287671234,1.0,486.6666666666667
Yemlur,2 BHK,1355.0,2.0,207.76,2,15332.841328413284,1.0,677.5
Avalahalli,1 BHK,833.0,1.0,41.9,1,5030.012004801921,1.0,833.0
Cambridge Layout,5 Bedroom,1750.0,5.0,225.14,5,12865.142857142857,1.0,350.0
Ramamurthy Nagar,2 BHK,1200.0,2.0,58.14,2,4845.0,1.0,600.0
Yeshwanthpur,1 BHK,669.0,1.0,34.77,1,5197.309417040359,1.0,669.0
7th Phase JP Nagar,3 Bedroom,2200.0,4.0,154.0,3,7000.0,1.3333333333333333,733.3333333333334
Koramangala,3 BHK,1594.0,3.0,228.9,3,14360.100376411543,1.0,531.3333333333334
Kothanur,3 BHK,1790.0,3.0,100.33,3,5605.027932960894,1.0,596.6666666666666
NGR Layout,2 BHK,1020.0,2.0,46.34,2,4543.137254901961,1.0,510.0
Doddanekundi,4 Bedroom,3250.0,5.0,218.04,4,6708.923076923077,1.25,812.5
Vasantapura main road,2 BHK,1037.0,2.0,37.83,2,3648.023143683703,1.0,518.5
Whitefield,3 BHK,1345.0,2.0,116.65,3,8672.8624535316,0.6666666666666666,448.3333333333333
Kodichikkanahalli,2 BHK,1070.0,2.0,49.64,2,4639.252336448598,1.0,535.0
Sector 6 HSR Layout,4 BHK,3000.0,5.0,413.19,4,13773.0,1.25,750.0
Yeshwanthpur,3 BHK,1385.0,2.0,77.77,3,5615.162454873646,0.6666666666666666,461.6666666666667
Kanakpura Road,2 BHK,1207.0,2.0,57.21,2,4739.850869925435,1.0,603.5
Varthur,2 BHK,1140.0,2.0,101.38,2,8892.982456140351,1.0,570.0
Basavanapura,2 BHK,1220.0,2.0,57.88,2,4744.262295081967,1.0,610.0
CQAL Layout,4 Bedroom,3811.0,3.0,378.78,4,9939.123589609026,0.75,952.75
Iblur Village,4 BHK,3596.0,5.0,272.79,4,7585.928809788655,1.25,899.0
Sarjapur  Road,3 BHK,1965.0,3.0,112.93,3,5747.073791348601,1.0,655.0
Koramangala,3 BHK,1760.0,2.0,247.1,3,14039.772727272728,0.6666666666666666,586.6666666666666
Haralur Road,2 BHK,1225.0,2.0,117.64,2,9603.265306122448,1.0,612.5
Marathahalli,2 BHK,1075.0,2.0,100.63,2,9360.93023255814,1.0,537.5
Panathur,2 BHK,1000.0,2.0,98.0,2,9800.0,1.0,500.0
Hennur Road,3 BHK,1891.0,3.0,116.35,3,6152.829190904284,1.0,630.3333333333334
Yelahanka,2 BHK,1322.0,2.0,101.53,2,7680.030257186082,1.0,661.0
Mathikere,3 Bedroom,1095.0,3.0,87.81,3,8019.178082191781,1.0,365.0
Bellandur,4 Bedroom,3600.0,4.0,388.01,4,10778.055555555555,1.0,900.0
AECS Layout,2 BHK,1045.0,2.0,48.54,2,4644.976076555024,1.0,522.5
Venugopal Reddy Layout,3 BHK,1545.0,3.0,86.97,3,5629.126213592233,1.0,515.0
Thanisandra,3 BHK,1996.0,3.0,166.01,3,8317.134268537075,1.0,665.3333333333334
Brookefield,2 BHK,1125.0,2.0,103.23,2,9176.0,1.0,562.5
Mysore Road,3 BHK,1560.0,3.0,76.89,3,4928.846153846154,1.0,520.0
BEML Layout,3 BHK,2000.0,2.0,108.14,3,5407.0,0.6666666666666666,666.6666666666666
Murugeshpalya,4 BHK,3100.0,4.0,164.64,4,5310.967741935483,1.0,775.0
Lake City,2 BHK,780.0,2.0,31.29,2,4011.5384615384614,1.0,390.0
Lakshmipura,2 Bedroom,1350.0,2.0,85.91,2,6363.7037037037035,1.0,675.0
Sarjapur  Road,3 BHK,2275.0,4.0,135.11,3,5938.901098901099,1.3333333333333333,758.3333333333334
Pragathi Nagar,2 BHK,1350.0,2.0,52.87,2,3916.296296296296,1.0,675.0
Haralur Road,3 BHK,1464.0,3.0,138.67,3,9471.994535519125,1.0,488.0
Kanakpura Road,3 BHK,1570.0,3.0,79.63,3,5071.974522292993,1.0,523.3333333333334
Dasanapura,1 BHK,708.0,1.0,36.34,1,5132.768361581921,1.0,708.0
Sarjapur  Road,3 BHK,1680.0,3.0,99.57,3,5926.785714285715,1.0,560.0
Hoodi,2 BHK,1400.0,2.0,118.06,2,8432.857142857143,1.0,700.0
Bellandur,2 BHK,1310.0,2.0,127.91,2,9764.12213740458,1.0,655.0
BTM Layout,6 Bedroom,3300.0,6.0,384.05,6,11637.878787878788,1.0,550.0
Electronics City Phase 1,2 BHK,1175.0,2.0,56.07,2,4771.914893617021,1.0,587.5
Chikkalasandra,3 BHK,1428.0,2.0,60.68,3,4249.299719887955,0.6666666666666666,476.0
Whitefield,4 BHK,3252.0,4.0,332.42,4,10222.017220172202,1.0,813.0
Haralur Road,2 BHK,1194.0,2.0,113.33,2,9491.624790619766,1.0,597.0
8th Phase JP Nagar,2 BHK,1080.0,2.0,48.32,2,4474.074074074074,1.0,540.0
Vijaya Bank Layout,3 BHK,1200.0,2.0,70.19,3,5849.166666666667,0.6666666666666666,400.0
Whitefield,2 Bedroom,1200.0,2.0,106.81,2,8900.833333333334,1.0,600.0
Bommasandra Industrial Area,3 BHK,1320.0,2.0,38.03,3,2881.060606060606,0.6666666666666666,440.0
Badavala Nagar,3 BHK,1842.0,3.0,127.74,3,6934.85342019544,1.0,614.0
Sector 2 HSR Layout,2 BHK,1146.0,2.0,67.73,2,5910.122164048866,1.0,573.0
Rachenahalli,1 BHK,440.0,1.0,21.7,1,4931.818181818182,1.0,440.0
Sahakara Nagar,2 BHK,1048.0,2.0,66.63,2,6357.824427480916,1.0,524.0
Thanisandra,3 BHK,1801.0,3.0,143.97,3,7993.892282065519,1.0,600.3333333333334
Hennur Road,2 BHK,1232.0,2.0,75.37,2,6117.694805194805,1.0,616.0
Whitefield,2 BHK,1150.0,2.0,100.88,2,8772.173913043478,1.0,575.0
Talaghattapura,3 BHK,1868.0,3.0,119.93,3,6420.235546038544,1.0,622.6666666666666
Begur,3 BHK,1445.0,2.0,67.25,3,4653.979238754326,0.6666666666666666,481.6666666666667
Hebbal Kempapura,3 BHK,1466.0,2.0,128.0,3,8731.241473396998,0.6666666666666666,488.6666666666667
Harlur,3 BHK,1730.0,3.0,170.92,3,9879.768786127168,1.0,576.6666666666666
JP Nagar,3 BHK,3860.0,3.0,349.21,3,9046.891191709845,1.0,1286.6666666666667
Somasundara Palya,2 BHK,1185.0,2.0,55.87,2,4714.767932489452,1.0,592.5
Yeshwanthpur,3 BHK,3027.0,4.0,176.81,3,5841.096795507103,1.3333333333333333,1009.0
Whitefield,4 BHK,2400.0,4.0,243.7,4,10154.166666666666,1.0,600.0
Kaval Byrasandra,2 BHK,1185.0,2.0,62.85,2,5303.797468354431,1.0,592.5
Hongasandra,2 BHK,1150.0,2.0,48.22,2,4193.04347826087,1.0,575.0
Maruthi Extension,5 Bedroom,2000.0,4.0,194.66,5,9733.0,0.8,400.0
Pai Layout,2 BHK,1075.0,2.0,47.5,2,4418.604651162791,1.0,537.5
Hebbal,3 BHK,1760.0,3.0,187.42,3,10648.863636363636,1.0,586.6666666666666
Banashankari,2 BHK,1600.0,2.0,134.59,2,8411.875,1.0,800.0
Haralur Road,2 BHK,1000.0,2.0,95.1,2,9510.0,1.0,500.0
7th Phase JP Nagar,2 BHK,1215.0,2.0,81.73,2,6726.748971193416,1.0,607.5
EPIP Zone,3 BHK,1734.0,3.0,121.61,3,7013.264129181084,1.0,578.0
Akshaya Nagar,2 BHK,1280.0,2.0,101.99,2,7967.96875,1.0,640.0
Rachenahalli,2 BHK,1113.0,2.0,55.0,2,4941.599281221923,1.0,556.5
