area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1105,2.0,2.0,47.03,4256.0,1105.0,2.0
Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,1500,2.0,1.0,83.94,5596.0,1500.0,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1200,2.0,2.0,65.88,5490.0,1200.0,2.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1251,2.0,1.0,52.3,4181.0,1251.0,2.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.21,4440.0,883.0,2.0
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,1400,2.0,3.0,57.33,4095.0,1400.0,3.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1800,3.0,3.0,246.19,13677.0,1800.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1703,3.0,2.0,114.75,6738.0,1703.0,3.0
Super built-up  Area,Ready To Move,NRI Layout,5 BHK,2500,5.0,3.0,138.4,5536.0,2500.0,5.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,1250,3.0,,117.28,9382.0,1250.0,3.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,933,2.0,2.0,50.12,5372.0,933.0,2.0
Plot  Area,Ready To Move,sankeswari,1 Bedroom,461.82,1.0,1.0,31.58,6838.0,461.82,1.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1262,2.0,1.0,122.59,9714.0,1262.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,915,2.0,2.0,75.71,8274.0,915.0,2.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,1370,2.0,2.0,132.74,9689.0,1370.0,3.0
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,1210,2.0,3.0,55.5,4587.0,1210.0,2.0
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,2392,4.0,2.0,264.77,11069.0,2392.0,3.0
Plot  Area,18-Feb,T c palya,3 Bedroom,1500,2.0,0.0,87.08,5805.0,1500.0,3.0
Super built-up  Area,Ready To Move,Govindraja Nagar,2 BHK,1065,2.0,3.0,49.41,4639.0,1065.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3100,4.0,2.0,450.06,14518.0,3100.0,4.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1515,3.0,3.0,73.33,4840.0,1515.0,3.0
Plot  Area,19-Dec,Sarjapura - Attibele Road,4 Bedroom,1800,4.0,,65.63,3646.0,1800.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1445,2.0,3.0,117.58,8137.0,1445.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1300,2.0,1.0,51.99,3999.0,1300.0,3.0
Built-up  Area,Ready To Move,Vijayanagar,2 BHK,989,2.0,0.0,87.24,8821.0,989.0,2.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1300,2.0,1.0,78.3,6023.0,1300.0,2.0
Super built-up  Area,18-Jul,Chandapura,3 BHK,1185,2.0,2.0,74.66,6300.0,1185.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1045,2.0,3.0,94.27,9021.0,1045.0,2.0
Super built-up  Area,18-Feb,Virat Nagar,2 BHK,1205,2.0,2.0,54.98,4563.0,1205.0,2.0
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2 BHK,1260,2.0,1.0,71.3,5659.0,1260.0,2.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,1500,2.0,2.0,180.51,12034.0,1500.0,3.0
Super built-up  Area,18-May,Bommanahalli,3 BHK,1250,2.0,2.0,91.59,7327.0,1250.0,3.0
Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",2 BHK,1199,2.0,2.0,51.53,4298.0,1199.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2.0,1.0,80.3,5798.0,1385.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1149,2.0,1.0,73.57,6403.0,1149.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2180,3.0,2.0,128.07,5875.0,2180.0,3.0
Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,10 BHK,12000,12.0,,615.72,5131.0,12000.0,10.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1818,3.0,1.0,103.03,5667.0,1818.0,3.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,1070,2.0,2.0,32.54,3041.0,1070.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3.0,2.0,237.37,14474.0,1640.0,3.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1350,2.0,2.0,115.34,8544.0,1350.0,3.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,630,1.0,1.0,39.54,6276.0,630.0,2.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,1430,2.0,2.0,128.7,9000.0,1430.0,2.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,2430,4.0,3.0,114.45,4710.0,2430.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1084,2.0,3.0,62.41,5757.0,1084.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1186,2.0,1.0,75.44,6361.0,1186.0,3.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,1255,2.0,2.0,78.86,6284.0,1255.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,3400,5.0,3.0,364.99,10735.0,3400.0,4.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1541,3.0,1.0,73.11,4744.0,1541.0,3.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596,5.0,1.0,287.46,7994.0,3596.0,4.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,53.47,4129.0,1295.0,2.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4.0,3.0,59.42,5942.0,1000.0,3.0
Built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2820,3.0,,234.93,8331.0,2820.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2.0,2.0,91.37,6669.0,1370.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,1.0,64.66,5878.0,1100.0,2.0
Super built-up  Area,18-Apr,Hebbal,4 BHK,4772,6.0,2.0,530.07,11108.0,4772.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1370,2.0,1.0,193.94,14156.0,1370.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2.0,1.0,93.93,6856.0,1370.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1200,2.0,2.0,103.62,8635.0,1200.0,2.0
Plot  Area,Ready To Move,Gunjur,4 Bedroom,2000,3.0,0.0,87.3,4365.0,2000.0,4.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,3500,4.0,,174.62,4989.0,3500.0,4.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2400,5.0,2.0,158.28,6595.0,2400.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3.0,2.0,74.11,6075.0,1220.0,3.0
Built-up  Area,Ready To Move,Kanakapura Road,3 Bedroom,1950,3.0,2.0,138.18,7086.0,1950.0,3.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1178,2.0,3.0,57.73,4901.0,1178.0,2.0
Super built-up  Area,Ready To Move,Dasanapura,3 BHK,1286,3.0,2.0,63.54,4941.0,1286.0,3.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,76.9,6629.0,1160.0,2.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2.0,2.0,50.96,5551.0,918.0,2.0
Super built-up  Area,21-Dec,Electronic City,3 BHK,1563,3.0,2.0,95.45,6107.0,1563.0,3.0
Super built-up  Area,18-Nov,Govindpura,2 BHK,1326,2.0,1.0,60.73,4580.0,1326.0,2.0
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,1350,2.0,2.0,161.28,11947.0,1350.0,3.0
Super built-up  Area,17-Dec,Hebbal,4 BHK,3960,5.0,3.0,440.31,11119.0,3960.0,4.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1240,2.0,2.0,86.86,7005.0,1240.0,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1325,2.0,2.0,118.2,8921.0,1325.0,2.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1100,2.0,1.0,54.13,4921.0,1100.0,2.0
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,3875,3.0,2.0,782.9,20204.0,3875.0,3.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1605,3.0,2.0,73.62,4587.0,1605.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,5 BHK,5600,5.0,3.0,364.84,6515.0,5600.0,5.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1260,2.0,1.0,64.56,5124.0,1260.0,2.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,1553,3.0,2.0,149.04,9597.0,1553.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,111.16,8684.0,1280.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1550,2.0,2.0,161.68,10431.0,1550.0,3.0
Super built-up  Area,Ready To Move,Arekere,3 BHK,1445,2.0,2.0,116.87,8088.0,1445.0,3.0
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,1550,3.0,2.0,72.82,4698.0,1550.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1515,2.0,1.0,68.87,4546.0,1515.0,3.0
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1332,2.0,1.0,62.56,4697.0,1332.0,3.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1652,3.0,2.0,103.75,6280.0,1652.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1570,3.0,1.0,107.89,6872.0,1570.0,3.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,5400,4.0,3.0,328.05,6075.0,5400.0,4.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,794,1.0,1.0,46.78,5892.0,794.0,1.0
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,1200,2.0,0.0,57.42,4785.0,1200.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,3600,3.0,2.0,251.89,6997.0,3600.0,4.0
Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,1200,3.0,2.0,111.68,9307.0,1200.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,4 BHK,1650,3.0,1.0,152.54,9245.0,1650.0,4.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,2800,3.0,2.0,199.61,7129.0,2800.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1750,3.0,2.0,97.76,5586.0,1750.0,3.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,1053,2.0,1.0,109.75,10423.0,1053.0,2.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,55.51,5046.0,1100.0,3.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1665,3.0,3.0,191.08,11476.0,1665.0,3.0
Plot  Area,Ready To Move,Outer Ring Road East,4 Bedroom,4051,4.0,3.0,289.32,7142.0,4051.0,4.0
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,5500,5.0,1.0,759.16,13803.0,5500.0,4.0
Built-up  Area,Ready To Move,Bommasandra,3 BHK,1447,3.0,2.0,58.23,4024.0,1447.0,3.0
Built-up  Area,Ready To Move,Balagere,2 BHK,1012,2.0,1.0,62.25,6151.0,1012.0,2.0
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,1900,3.0,2.0,87.42,4601.0,1900.0,3.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2.0,2.0,75.18,5748.0,1308.0,2.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,3250,4.0,,229.42,7059.0,3250.0,4.0
Super built-up  Area,Ready To Move,Hormavu,1 BHK,1351,2.0,1.0,61.84,4577.0,1351.0,1.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1000,2.0,2.0,59.77,5977.0,1000.0,2.0
Plot  Area,Ready To Move,J P Nagar 7th Phase Ramayya City,4 Bedroom,1200,4.0,2.0,364.49,30374.0,1200.0,4.0
Super built-up  Area,18-Aug,Gunjur,2 BHK,1140,2.0,2.0,51.12,4484.0,1140.0,2.0
Super built-up  Area,22-May,Jakkur,4 BHK,2249.81 - 4112.19,4.0,0.0,210.33,6612.0,3181.0,4.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1250,2.0,1.0,53.36,4269.0,1250.0,3.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1290,3.0,3.0,63.13,4894.0,1290.0,3.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1424,2.0,2.0,94.54,6639.0,1424.0,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1320,2.0,2.0,59.36,4497.0,1320.0,3.0
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3.0,2.0,135.14,8131.0,1662.0,3.0
Super built-up  Area,Ready To Move,Shanthala Nagar,5 BHK,8321,5.0,3.0,1278.27,15362.0,8321.0,5.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,88.0,7333.0,1200.0,2.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,1975,3.0,,286.75,14519.0,1975.0,3.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1295,2.0,2.0,63.16,4877.0,1295.0,3.0
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1777,3.0,2.0,93.45,5259.0,1777.0,3.0
Super built-up  Area,18-Apr,Kadugodi,3 BHK,1900,3.0,,164.24,8644.0,1900.0,3.0
Super built-up  Area,17-Jul,Anandapura,3 BHK,1576,3.0,2.0,69.28,4396.0,1576.0,3.0
Super built-up  Area,Ready To Move,Sompura,2 BHK,1020,2.0,3.0,42.81,4197.0,1020.0,2.0
Super built-up  Area,Ready To Move,Green Domain Layout,3 BHK,2100,3.0,3.0,148.74,7083.0,2100.0,3.0
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,1 BHK,648,1.0,1.0,25.93,4001.0,648.0,1.0
Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,1167,2.0,1.0,45.89,3932.0,1167.0,3.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1220,2.0,2.0,117.47,9629.0,1220.0,2.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,2350,5.0,1.0,112.42,4784.0,2350.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1259,2.0,1.0,65.01,5164.0,1259.0,2.0
Built-up  Area,Ready To Move,Gottigere,4 Bedroom,2000,4.0,2.0,95.1,4755.0,2000.0,4.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1800,3.0,1.0,83.72,4651.0,1800.0,3.0
Built-up  Area,Ready To Move,Cleveland Town,3 BHK,1991,3.0,2.0,171.21,8599.0,1991.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta,3 BHK,1665,3.0,3.0,111.12,6674.0,1665.0,3.0
Built-up  Area,20-Dec,"Hoodi Circle, ",2 BHK,1234,2.0,1.0,59.37,4811.0,1234.0,2.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1340,2.0,2.0,66.53,4965.0,1340.0,3.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1170,2.0,2.0,93.56,7997.0,1170.0,2.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,995,2.0,0.0,48.87,4912.0,995.0,2.0
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1075,2.0,2.0,78.88,7338.0,1075.0,2.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1025,2.0,1.0,62.86,6133.0,1025.0,2.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2721,3.0,2.0,148.89,5472.0,2721.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2000,3.0,2.0,163.08,8154.0,2000.0,3.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2500,4.0,3.0,235.68,9427.0,2500.0,4.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,1325,2.0,2.0,69.15,5219.0,1325.0,2.0
Super built-up  Area,18-Apr,Kadugodi,2 BHK,1314,2.0,3.0,108.23,8237.0,1314.0,2.0
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,2265,3.0,2.0,114.68,5063.0,2265.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,7 Bedroom,4800,7.0,0.0,356.02,7417.0,4800.0,7.0
Super built-up  Area,21-Dec,Yelahanka,2 BHK,1026,2.0,1.0,84.69,8254.0,1026.0,2.0
Built-up  Area,Ready To Move,Syndicate Bank Colony,3 BHK,1200,3.0,2.0,134.4,11200.0,1200.0,3.0
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,2220,4.0,2.0,81.16,3656.0,2220.0,3.0
Super built-up  Area,18-Sep,KR Puram,2 BHK,1070 - 1315,2.0,0.0,80.41,6743.0,1192.5,2.0
Super built-up  Area,18-Dec,Hebbal,2 BHK,1420,2.0,1.0,148.39,10450.0,1420.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1888,4.0,1.0,113.22,5997.0,1888.0,3.0
Super built-up  Area,18-May,JP Nagar,2 BHK,1300,2.0,1.0,114.32,8794.0,1300.0,2.0
Super built-up  Area,18-May,Rajaji Nagar,2 BHK,1216,2.0,0.0,167.25,13754.0,1216.0,2.0
Plot  Area,19-Dec,"Off Sarjapur road, ",4 Bedroom,3000,4.0,3.0,362.94,12098.0,3000.0,4.0
Built-up  Area,Ready To Move,Begur,3 BHK,1559,3.0,2.0,78.78,5053.0,1559.0,3.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1290,2.0,1.0,117.56,9113.0,1290.0,2.0
Plot  Area,Ready To Move,M C Layout,6 Bedroom,2400,6.0,,268.25,11177.0,2400.0,6.0
Built-up  Area,18-Jun,Whitefield,1 BHK,905,1.0,1.0,79.67,8803.0,905.0,1.0
Built-up  Area,Ready To Move,Nanjappa Layout,2 BHK,1069,2.0,,54.84,5130.0,1069.0,2.0
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,829,2.0,1.0,28.63,3453.0,829.0,2.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,1900,2.0,1.0,256.2,13484.0,1900.0,2.0
Built-up  Area,Ready To Move,Dodda Banaswadi,5 Bedroom,3040Sq. Meter,5.0,1.0,154.49,5082.0,3040.0,5.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1300,3.0,2.0,78.78,6060.0,1300.0,3.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1115,2.0,1.0,40.7,3650.0,1115.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2409,3.0,2.0,344.51,14301.0,2409.0,3.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,2150,4.0,2.0,146.93,6834.0,2150.0,3.0
Super built-up  Area,19-Mar,Marathahalli,3 BHK,1305,2.0,1.0,116.8,8950.0,1305.0,3.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,1252,2.0,1.0,62.46,4989.0,1252.0,2.0
Plot  Area,Ready To Move,Hosakerehalli,5 Bedroom,2400,5.0,,243.43,10143.0,2400.0,5.0
Plot  Area,18-Sep,Whitefield,2 Bedroom,1200,2.0,1.0,107.62,8968.0,1200.0,2.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,1750,3.0,1.0,245.66,14038.0,1750.0,3.0
Plot  Area,Ready To Move,BEL Layout,2 Bedroom,1375,2.0,1.0,103.46,7524.0,1375.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1313,2.0,2.0,71.51,5446.0,1313.0,2.0
Plot  Area,Ready To Move,Attibele,4 Bedroom,3640,4.0,1.0,209.99,5769.0,3640.0,4.0
Super built-up  Area,20-Dec,Akshayanagara East,3 BHK,1693,3.0,2.0,94.72,5595.0,1693.0,3.0
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,1160,2.0,1.0,41.55,3582.0,1160.0,2.0
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3 Bedroom,1200,3.0,0.0,211.54,17628.0,1200.0,3.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1255,2.0,2.0,72.26,5758.0,1255.0,3.0
Built-up  Area,Ready To Move,Bellari Road,2 BHK,900,2.0,1.0,38.43,4270.0,900.0,2.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1700,3.0,2.0,85.8,5047.0,1700.0,3.0
Carpet  Area,Ready To Move,Indira Nagar,3 BHK,1875,3.0,1.0,217.88,11620.0,1875.0,3.0
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,1700,3.0,2.0,69.89,4111.0,1700.0,3.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1749,3.0,2.0,168.85,9654.0,1749.0,3.0
Plot  Area,Ready To Move,Dasanapura,2 Bedroom,1500,3.0,1.0,76.47,5098.0,1500.0,2.0
Super built-up  Area,Ready To Move,Varanasi,2 BHK,1175,2.0,1.0,57.39,4884.0,1175.0,2.0
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280,2.0,1.0,100.94,7886.0,1280.0,2.0
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1200,2.0,2.0,41.15,3429.0,1200.0,2.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1610,2.0,2.0,72.1,4478.0,1610.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,66.47,6212.0,1070.0,2.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,66.4,5533.0,1200.0,2.0
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,1127,2.0,1.0,58.24,5168.0,1127.0,2.0
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,1210,2.0,1.0,141.0,11653.0,1210.0,2.0
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,600,2.0,1.0,24.58,4097.0,600.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,4190,4.0,3.0,327.7,7821.0,4190.0,4.0
Super built-up  Area,Ready To Move,Tata Nagar,2 BHK,1364,2.0,2.0,62.69,4596.0,1364.0,2.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2268,3.0,0.0,217.21,9577.0,2268.0,4.0
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3 BHK,1150,2.0,2.0,83.97,7302.0,1150.0,3.0
Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,1146,2.0,1.0,48.75,4254.0,1146.0,2.0
Built-up  Area,Ready To Move,Magadi Road,2 BHK,1345,2.0,2.0,64.16,4770.0,1345.0,2.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2.0,2.0,55.34,4986.0,1110.0,2.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,42.88,5717.0,750.0,2.0
Built-up  Area,Ready To Move,Motappa Layout,2 BHK,1156,2.0,2.0,52.88,4574.0,1156.0,2.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1247,2.0,1.0,64.72,5190.0,1247.0,2.0
Super built-up  Area,Ready To Move,Mangammanapalya,2 BHK,1058,2.0,2.0,46.18,4365.0,1058.0,2.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950,2.0,1.0,49.99,5262.0,950.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1520,2.0,1.0,132.32,8705.0,1520.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2.0,2.0,105.22,8660.0,1215.0,2.0
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,900,1.0,1.0,41.16,4573.0,900.0,1.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2350,3.0,2.0,140.65,5985.0,2350.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1050,2.0,2.0,81.21,7734.0,1050.0,2.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,1672,3.0,2.0,148.16,8861.0,1672.0,3.0
Plot  Area,Ready To Move,Laggere,5 Bedroom,2800,5.0,2.0,210.5,7518.0,2800.0,5.0
Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,1500,2.0,2.0,65.37,4358.0,1500.0,3.0
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,1400,2.0,2.0,55.29,3949.0,1400.0,2.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2700,4.0,2.0,122.26,4528.0,2700.0,4.0
Super built-up  Area,18-May,Bommasandra,2 BHK,920,2.0,1.0,35.02,3806.0,920.0,2.0
Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,1200,3.0,2.0,70.74,5895.0,1200.0,3.0
Built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,1250,3.0,2.0,96.78,7742.0,1250.0,3.0
Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,1817,4.0,,175.52,9660.0,1817.0,3.0
Plot  Area,Ready To Move,Cooke Town,5 Bedroom,2043,6.0,,286.94,14045.0,2043.0,5.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1140,2.0,2.0,128.92,11309.0,1140.0,2.0
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,4346,4.0,1.0,360.15,8287.0,4346.0,4.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1464,2.0,2.0,146.69,10020.0,1464.0,2.0
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1468,3.0,2.0,139.02,9470.0,1468.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1555,2.0,1.0,78.51,5049.0,1555.0,3.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2.0,0.0,101.46,8823.0,1150.0,2.0
Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,970,2.0,1.0,108.0,11134.0,970.0,2.0
Super built-up  Area,18-May,Banashankari,4 BHK,2500,4.0,3.0,229.42,9177.0,2500.0,4.0
Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,1166,2.0,1.0,58.81,5044.0,1166.0,2.0
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,2779,3.0,1.0,218.26,7854.0,2779.0,3.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,3.0,2.0,85.4,6326.0,1350.0,3.0
Built-up  Area,Ready To Move,Mariyannapalya,2 BHK,900,2.0,3.0,42.7,4745.0,900.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2.0,2.0,88.22,6786.0,1300.0,3.0
Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,1190,3.0,1.0,86.36,7257.0,1190.0,3.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,1495,2.0,2.0,72.15,4826.0,1495.0,3.0
