area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1470,2.0,2.0,82.0,7420
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1160,2.0,2.0,40.61,5184
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,1.0,71.0,5685
Super built-up  Area,20-Jun,Dairy Circle,3 BHK,1855,3.0,1.0,225.0,4301
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460,2.0,1.0,90.0,9791
Built-up  Area,Ready To Move,Hulimavu,3 BHK,1823,3.0,2.0,100.0,9258
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1094,2.0,2.0,42.0,6558
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,57.0,6790
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,1325,3.0,1.0,57.0,6976
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,1200,3.0,2.0,85.0,4606
Built-up  Area,Ready To Move,Jakkur,3 BHK,1590,2.0,2.0,125.0,5306
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,1210,4.0,2.0,160.0,7170
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,1200,4.0,0.0,220.0,9311
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,1202,2.0,1.0,48.0,4699
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1202,2.0,1.0,53.0,9486
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,1200,2.0,3.0,62.5,9088
Super built-up  Area,18-Feb,Panathur,3 BHK,1688,3.0,1.0,118.0,11385
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1020,2.0,1.0,52.0,12226
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1185,2.0,2.0,47.0,14583
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1235,2.0,1.0,52.04,11849
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5.0,1.0,500.0,7354
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1077,2.0,2.0,37.64,6961
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,1415,2.0,3.0,66.0,12006
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2330,3.0,2.0,162.0,7943
Super built-up  Area,Ready To Move,Whitefield,2 BHK,805,2.0,2.0,35.0,10265
Built-up  Area,Ready To Move,P&T Colony,1 BHK,425,1.0,0.0,20.03,13331
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2.0,3.0,59.95,10265
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,5270,4.0,3.0,1250.0,4190
Super built-up  Area,Ready To Move,Anekal,2 BHK,656,2.0,1.0,22.0,8389
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,1100,2.0,0.0,48.0,14492
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1150,2.0,3.0,52.0,12958
Plot  Area,Ready To Move,Chelekare,1 Bedroom,600,1.0,1.0,60.0,4980
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1468,2.0,1.0,140.0,11679
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,4300,5.0,2.0,550.0,6975
Super built-up  Area,18-Dec,Whitefield,3 BHK,2280,4.0,2.0,126.0,10265
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,1341,2.0,1.0,97.0,10235
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1279,2.0,1.0,77.0,5306
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,2225,4.0,0.0,98.88,11270
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2.0,2.0,43.51,7385
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,1750,3.0,2.0,85.0,10102
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1152,2.0,1.0,53.5,5184
Plot  Area,Ready To Move,Shivanagar,5 Bedroom,1000,4.0,1.0,160.0,7327
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1300,2.0,3.0,36.0,9258
Plot  Area,18-Nov,Varthur Road,4 Bedroom,2760,4.0,2.0,155.0,12208
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,1070,2.0,2.0,39.0,9535
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1101,2.0,0.0,45.0,9390
Super built-up  Area,Ready To Move,V.V Puram,2 BHK,775,2.0,1.0,55.0,7394
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,667,1.0,1.0,36.85,9675
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,55.0,6558
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,1875,2.0,2.0,110.0,4466
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,735,2.0,1.0,57.99,6734
Plot  Area,Ready To Move,Sarjapur,5 Bedroom,4360,4.0,1.0,90.0,14583
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1750,3.0,2.0,130.0,11035
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2.0,1.0,67.0,9578
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,600,9.0,3.0,190.0,12319
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,820,2.0,1.0,30.0,8859
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,1160 - 1195,2.0,0.0,59.935,14257
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1779,3.0,2.0,89.61,5930
Built-up  Area,Ready To Move,HMT Layout,2 BHK,1105,2.0,2.0,58.0,5816
Built-up  Area,Ready To Move,Basavanagara,1 BHK,1000Sq. Meter,2.0,1.0,93.0,9854
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1650,3.0,2.0,60.0,10265
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1694,2.0,2.0,150.0,8218
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2376,3.0,1.0,203.0,7354
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1975,3.0,3.0,150.0,10709
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674,2.0,1.0,33.0,10938
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1185,2.0,1.0,41.0,9592
Super built-up  Area,Ready To Move, Thanisandra,1 RK,445,1.0,0.0,28.0,12666
Built-up  Area,Ready To Move,Mylasandra,6 Bedroom,900,7.0,,76.0,12755
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1475,3.0,2.0,75.0,5267
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1618,3.0,3.0,82.5,4769
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1120,2.0,0.0,65.0,11035
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2181,3.0,2.0,152.0,9578
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,1200,4.0,0.0,90.0,10694
Plot  Area,Ready To Move,Nagondanahalli,6 Bedroom,600,4.0,3.0,65.0,4502
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,1556,2.0,1.0,59.13,9791
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,1179,2.0,1.0,66.02,9791
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1296,2.0,2.0,83.0,7385
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1275,2.0,2.0,52.0,9592
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,1875,2.0,2.0,300.0,4569
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1400,2.0,2.0,77.0,9442
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1222,2.0,1.0,63.0,4769
Super built-up  Area,Ready To Move,Electronic City,2 BHK,940,2.0,1.0,41.0,6558
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2.0,2.0,42.6,7385
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1779,3.0,2.0,112.0,7446
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615,3.0,2.0,59.76,12792
Super built-up  Area,18-Dec,JP Nagar,4 BHK,4000 - 5249,,,453.0,8413
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1056,2.0,1.0,61.0,9486
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2.0,0.0,46.0,5685
Built-up  Area,Ready To Move,Arekere,2 BHK,920,2.0,1.0,40.0,13637
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,1602,2.0,0.0,75.0,13146
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1176,2.0,0.0,62.0,10910
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,675,3.0,1.0,59.0,5895
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1352,3.0,0.0,135.0,13561
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1717,3.0,3.0,99.0,7073
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 Bedroom,10961,4.0,1.0,80.0,6733
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119,4.0,3.0,111.0,9393
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2.0,1.0,67.3,6911
Super built-up  Area,17-Jul,Anandapura,2 BHK,1141,2.0,1.0,42.79,6062
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1157,2.0,1.0,84.0,11099
Super built-up  Area,18-Aug,Chandapura,2 BHK,1025,2.0,2.0,27.68,4161
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,650,1.0,2.0,33.0,7863
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2.0,1.0,98.0,6747
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,1566,3.0,1.0,83.3,5707
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,2830,3.0,3.0,195.0,11455
Built-up  Area,18-Dec,Electronic City,3 BHK,1320,2.0,1.0,38.13,6558
Super built-up  Area,18-Nov,manyata park,3 BHK,1780,3.0,1.0,84.83,8014
Super built-up  Area,Ready To Move,Varthur,2 BHK,1091,2.0,1.0,34.9,14233
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,3670,4.0,3.0,300.0,5686
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918,2.0,1.0,50.49,5685
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,1950,4.0,0.0,130.0,9675
Super built-up  Area,Ready To Move,Panathur,3 BHK,1695,3.0,1.0,90.0,11385
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705,3.0,2.0,95.0,6047
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1375,3.0,2.0,75.0,9116
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,525,1.0,1.0,30.0,13998
Built-up  Area,20-Dec,Whitefield,2 BHK,1447,2.0,1.0,83.0,10265
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1114,2.0,1.0,39.0,7385
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2.0,1.0,100.0,5685
Super built-up  Area,Ready To Move,Belathur,2 BHK,460,1.0,0.0,15.0,7009
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,1022,2.0,2.0,40.0,5045
Built-up  Area,Ready To Move,Hebbal,2 BHK,1000,2.0,2.0,45.0,6747
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,68.75,6558
Super built-up  Area,18-May,Kanakpura Road,2 BHK,1180,2.0,2.0,57.0,13998
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,1000,6.0,1.0,69.0,10776
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,1200,2.0,1.0,150.0,11629
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,3761,3.0,2.0,660.0,11806
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,3.0,75.0,13998
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1400,2.0,3.0,55.0,4154
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2.0,1.0,39.52,5685
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1198,2.0,2.0,58.0,12529
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,1200,3.0,,95.0,14729
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3.0,2.0,113.0,5899
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,3.0,2.0,36.0,6433
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630,3.0,2.0,194.0,13062
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1240,3.0,2.0,43.5,12684
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,1115 - 1130,2.0,0.0,58.935,9791
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3.0,2.0,86.58,9575
Built-up  Area,Ready To Move,Marathahalli,3 BHK,2489,3.0,,94.0,9578
Built-up  Area,Ready To Move,Brookefield,2 BHK,1142,2.0,2.0,70.0,11098
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,1976,3.0,1.0,184.0,5409
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,5500,4.0,,600.0,4784
Super built-up  Area,Ready To Move,Kothannur,3 BHK,1853,3.0,2.0,82.0,13670
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,600,4.0,1.0,72.0,6731
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1567,2.0,2.0,92.0,13167
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1090,2.0,1.0,27.24,7627
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,1200,4.0,2.0,125.0,9311
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,2400,4.0,1.0,640.0,12096
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175,2.0,2.0,51.47,4189
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1200,2.0,2.0,52.0,9534
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,995,2.0,1.0,41.0,8642
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,884,2.0,1.0,41.1,9977
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,900,3.0,2.0,80.0,11560
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1170,2.0,2.0,57.0,9675
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1225,2.0,1.0,46.55,7556
Super built-up  Area,18-Apr,Electronic City,2 BHK,1342,2.0,1.0,73.3,6558
Built-up  Area,19-Dec,Uttarahalli,2 BHK,1345,2.0,1.0,67.0,9390
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,1320,3.0,0.0,65.0,8931
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,1100Sq. Yards,2.0,,45.0,11343
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,1.0,49.39,9311
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1300,2.0,1.0,50.0,5930
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,1652,3.0,2.0,85.0,4391
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4.0,2.0,142.0,5291
Built-up  Area,Ready To Move,Arekere,3 BHK,1740,2.0,,95.0,13637
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2.0,1.0,71.0,6558
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1145,2.0,2.0,60.0,11125
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540,2.0,0.0,40.0,9390
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1278,2.0,2.0,95.0,5899
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1.0,1.0,40.0,11270
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,1100,3.0,2.0,58.0,13998
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,1200,3.0,0.0,95.0,11206
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,2500,6.0,2.0,115.0,9596
Super built-up  Area,18-Jun,Chandapura,1 BHK,520 - 645,1.0,0.0,15.135,4161
Super built-up  Area,18-Sep,Chandapura,2 BHK,1015,2.0,2.0,25.88,4161
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,3300,5.0,2.0,240.0,11125
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,4500,5.0,1.0,415.0,5636
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1356,2.0,3.0,66.0,6612
Super built-up  Area,Ready To Move,Hennagara,2 BHK,823,2.0,1.0,28.0,9801
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,10776
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050,2.0,0.0,37.0,10439
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,1180,2.0,1.0,69.0,6806
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2.0,3.0,51.91,10265
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070,2.0,1.0,42.79,5685
Super built-up  Area,17-Mar,Varthur,2 BHK,1385,2.0,3.0,80.0,14233
Plot  Area,Ready To Move,Varthur,1 Bedroom,1000,1.0,1.0,70.0,14233
Built-up  Area,18-Feb,Whitefield,3 BHK,1897,3.0,2.0,130.0,10265
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1005,2.0,1.0,55.78,9977
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1575,3.0,2.0,125.0,4537
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975,2.0,1.0,65.0,9534
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1904,3.0,2.0,120.0,11099
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,930,1.0,1.0,30.0,12006
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.0,13998
Super built-up  Area,Ready To Move,BAGUR,1 BHK,686,1.0,1.0,17.0,9986
Plot  Area,Ready To Move,Electronic City Phase II,2 Bedroom,2400,3.0,1.0,150.0,11270
Plot  Area,Ready To Move,8th block Koramangala,2 Bedroom,1410,1.0,0.0,233.0,14965
Built-up  Area,18-Apr,Sarjapur  Road,3 Bedroom,2238,3.0,1.0,140.0,5899
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174,2.0,1.0,69.0,12164
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,3800,4.0,3.0,239.0,5841
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,2.0,1.0,125.0,10265
Super built-up  Area,Ready To Move,M.G Road,2 BHK,1250,2.0,0.0,200.0,14647
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2.0,2.0,52.0,9450
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1250,2.0,3.0,52.0,12958
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1800,3.0,,110.0,5899
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1170,2.0,3.0,53.0,9578
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,1300,1.0,0.0,200.0,11869
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,793,2.0,1.0,45.0,9791
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1710,3.0,2.0,107.0,5306
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,57.5,11400
Super built-up  Area,18-Mar,Naganathapura,2 BHK,1001,2.0,2.0,33.03,12716
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,1500,4.0,,180.0,11996
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1590,2.0,1.0,54.0,6047
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,2400,2.0,0.0,80.0,9854
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1554,3.0,2.0,55.0,10971
Super built-up  Area,18-Dec,Thanisandra,2 BHK,1000 - 1285,2.0,0.0,43.415,7385
Super built-up  Area,Ready To Move,Bellandur,5 BHK,4239,5.0,2.0,423.0,10396
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,884,1.0,0.0,58.0,5218
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1045,2.0,1.0,98.89,4391
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1019,2.0,2.0,49.86,9578
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1935,4.0,2.0,130.0,14921
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1135,2.0,2.0,39.73,9390
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1680,3.0,2.0,150.0,14627
Super built-up  Area,19-Jun,Hebbal,4 BHK,2470,5.0,2.0,247.0,6747
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2825,4.0,3.0,250.0,9625
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,3.0,1.0,330.0,7354
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,1260,11.0,,290.0,9535
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1800,4.0,3.0,187.0,10439
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1799,3.0,3.0,90.0,7073
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,3606 - 5091,,,304.0,10265
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1.0,1.0,11.0,10278
Built-up  Area,18-Mar,Kundalahalli,2 BHK,1047,2.0,1.0,82.0,6734
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1282,2.0,2.0,87.0,6950
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2.0,1.0,45.9,11992
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,1080,3.0,1.0,155.0,4098
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,2.0,1.0,79.5,10265
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,3260,4.0,1.0,240.0,7073
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,1611,2.0,2.0,64.44,8780
Super built-up  Area,Ready To Move,Koramangala,4 BHK,3500,5.0,2.0,425.0,11035
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,1500,2.0,2.0,95.0,6368
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1500,2.0,2.0,95.0,11455
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,3206,5.0,,270.0,6047
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540,3.0,0.0,50.0,9390
Super built-up  Area,18-May,Hosa Road,3 BHK,1639,3.0,1.0,80.0,4391
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,700,4.0,,72.0,9578
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1303,2.0,2.0,55.79,9311
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1005,1.0,1.0,110.0,11035
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,650 - 665,1.0,0.0,18.41,10938
Super built-up  Area,18-Oct,Chandapura,3 BHK,1305,3.0,1.0,33.28,4161
Plot  Area,Ready To Move,Kothannur,3 Bedroom,600,4.0,0.0,95.0,13670
Super built-up  Area,Ready To Move,sapthagiri Layout,2 BHK,1300,1.0,1.0,115.0,10655
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1440,2.0,3.0,68.0,11098
Super built-up  Area,18-Dec,Seegehalli,2 BHK,901,2.0,1.0,35.14,12173
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1725,3.0,3.0,200.0,8426
Built-up  Area,Ready To Move,Sarjapur,3 BHK,900,2.0,1.0,42.0,14583
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,1060,2.0,1.0,55.0,8495
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2.0,1.0,48.45,11992
Super built-up  Area,20-Dec,Varthur,3 BHK,1535,3.0,2.0,65.99,14233
Built-up  Area,Ready To Move,Alur,1 BHK,530,1.0,1.0,20.0,14893
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3.0,2.0,56.0,9486
Super built-up  Area,Ready To Move,Devarabisanahalli,2 BHK,1350,2.0,3.0,80.0,13163
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1115,2.0,2.0,50.0,5899
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1175,2.0,2.0,47.0,9390
Built-up  Area,Ready To Move,Whitefield,2 BHK,1113,2.0,1.0,62.0,10265
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,1200,4.0,2.0,225.0,9390
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1640,4.0,3.0,240.0,10439
Built-up  Area,Ready To Move,Giri Nagar,2 BHK,650,2.0,0.0,42.0,13474
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1325,2.0,2.0,71.55,9578
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,950,2.0,3.0,31.0,4189
Super built-up  Area,18-Apr,Jakkur,3 BHK,1396,2.0,1.0,86.51,5306
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2.0,2.0,52.07,5686
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1825,3.0,2.0,100.0,7385
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190,2.0,1.0,49.98,5685
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2.0,1.0,56.5,9578
Super built-up  Area,Ready To Move,NRI Layout,3 BHK,1565,2.0,2.0,75.0,10002
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891,3.0,1.0,109.0,11099
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2.0,0.0,27.0,10614
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161,2.0,1.0,55.15,4391
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,633 - 666,1.0,0.0,17.535,14583
Plot  Area,Ready To Move,Dwarka Nagar,8 Bedroom,2400,6.0,3.0,125.0,13358
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,315,4.0,2.0,90.0,8426
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,665,1.0,1.0,36.85,9675
Super built-up  Area,19-Jan,Mysore Road,2 BHK,1175,2.0,1.0,73.5,10949
Built-up  Area,Ready To Move,Hoodi,2 BHK,1425,2.0,2.0,80.0,4659
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,1200,1.0,0.0,20.0,8433
Plot  Area,18-Aug,ITPL,3 Bedroom,1200,3.0,1.0,56.12,9919
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1255,2.0,2.0,67.0,7581
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2112.95,4.0,2.0,145.0,10235
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,600,1.0,1.0,22.0,9311
Super built-up  Area,18-Jul,Haralur Road,3 BHK,1810,3.0,2.0,100.0,9486
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1200,2.0,2.0,93.0,8893
Super built-up  Area,Ready To Move,Harlur,2 BHK,1033,2.0,2.0,49.0,12164
Super built-up  Area,Ready To Move,ITPL,3 BHK,1548,3.0,2.0,89.5,9919
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,1611,3.0,3.0,66.0,10971
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400,2.0,1.0,40.43,11270
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,1485,2.0,2.0,67.0,10694
