location,total_sqft,bhk,bath,bath_per_bhk,sqft_per_bhk,price
Horamavu Agara,760.0,2,2.0,1.0,380.0,29.97
Whitefield,1655.0,3,3.0,1.0,551.6666666666666,147.1
Herohalli,1800.0,2,1.0,0.5,900.0,95.44
Hoodi,1111.0,2,2.0,1.0,555.5,104.25
Bannerghatta Road,1280.0,2,2.0,1.0,640.0,113.55
Subramanyapura,958.0,2,2.0,1.0,479.0,52.45
KR Puram,1200.0,2,2.0,1.0,600.0,82.99
Rachenahalli,996.0,2,2.0,1.0,498.0,47.78
Magadi Road,1191.0,3,2.0,0.6666666666666666,397.0,57.38
Koramangala,1716.0,3,2.0,0.6666666666666666,572.0,235.3
1st Block Koramangala,1000.0,2,2.0,1.0,500.0,90.21
Uttarahalli,1325.0,2,2.0,1.0,662.5,53.48
Varthur,1024.0,2,2.0,1.0,512.0,92.17
Kambipura,1082.0,3,2.0,0.6666666666666666,360.6666666666667,47.01
Bannerghatta Road,2932.0,4,5.0,1.25,733.0,284.11
Binny Pete,1755.0,3,3.0,1.0,585.0,155.0
Ambalipura,3300.0,4,4.0,1.0,825.0,202.09
Divya Unnathi Layout,1339.0,2,2.0,1.0,669.5,55.65
Hegde Nagar,2112.95,3,4.0,1.3333333333333333,704.3166666666666,144.57
Electronic City Phase II,1310.0,3,2.0,0.6666666666666666,436.6666666666667,40.11
Kereguddadahalli,800.0,2,2.0,1.0,400.0,27.09
Kothanur,1760.0,3,3.0,1.0,586.6666666666666,83.85
Sarjapur  Road,1691.0,3,3.0,1.0,563.6666666666666,97.5
Thanisandra,1343.0,2,2.0,1.0,671.5,106.33
Peenya,1200.0,4,4.0,1.0,300.0,81.18
TC Palaya,2100.0,4,2.0,0.5,525.0,128.29
Amruthnagar,1365.0,2,3.0,1.5,682.5,66.93
Sarjapur  Road,1249.0,3,3.0,1.0,416.3333333333333,74.92
Poorna Pragna Layout,1400.0,3,2.0,0.6666666666666666,466.6666666666667,57.58
Sarjapur,2400.0,4,3.0,0.75,600.0,227.54
Electronic City,1386.0,2,2.0,1.0,693.0,79.32
Maragondanahalli,1508.0,3,3.0,1.0,502.6666666666667,76.43
Uttarahalli,1075.0,2,2.0,1.0,537.5,42.72
Cox Town,1100.0,2,2.0,1.0,550.0,86.38
Kudlu Gate,1183.0,2,2.0,1.0,591.5,96.59
AECS Layout,1028.0,2,2.0,1.0,514.0,51.01
Konena Agrahara,3520.0,5,6.0,1.2,704.0,217.25
Electronic City,1652.0,3,3.0,1.0,550.6666666666666,103.75
Whitefield,5700.0,4,5.0,1.25,1425.0,565.5
Akshya Nagar,1200.0,2,2.0,1.0,600.0,64.91
Akshaya Nagar,2300.0,3,4.0,1.3333333333333333,766.6666666666666,193.66
Koppa,4000.0,7,7.0,1.0,571.4285714285714,100.64
Hennur Road,1804.0,3,3.0,1.0,601.3333333333334,110.42
Whitefield,1390.0,2,2.0,1.0,695.0,119.61
Kathriguppe,1300.0,3,3.0,1.0,433.3333333333333,78.04
Nagasandra,2400.0,4,4.0,1.0,600.0,148.85
8th Phase JP Nagar,1006.0,2,2.0,1.0,503.0,44.68
Hebbal,812.0,2,2.0,1.0,406.0,81.74
Marathahalli,1100.0,1,2.0,2.0,1100.0,95.81
Hebbal,1040.0,2,2.0,1.0,520.0,103.48
Mico Layout,1190.0,2,2.0,1.0,595.0,44.1
Varthur,986.0,2,2.0,1.0,493.0,89.34
Kengeri Satellite Town,920.0,2,2.0,1.0,460.0,37.36
TC Palaya,1200.0,3,2.0,0.6666666666666666,400.0,69.55
Sarjapur  Road,1105.0,2,2.0,1.0,552.5,63.24
Kaval Byrasandra,935.0,2,2.0,1.0,467.5,48.32
Canara Bank Layout,1450.0,3,3.0,1.0,483.3333333333333,80.43
Bisuvanahalli,1180.0,3,2.0,0.6666666666666666,393.3333333333333,44.88
Channasandra,1010.0,2,2.0,1.0,505.0,35.43
Kadugodi,1314.0,2,2.0,1.0,657.0,105.44
Kanakapura Road,1950.0,3,3.0,1.0,650.0,138.18
Subramanyapura,1278.0,3,3.0,1.0,426.0,70.41
Geetanjali Layout,1200.0,4,4.0,1.0,300.0,322.92
Iblur Village,1920.0,3,3.0,1.0,640.0,146.15
Amruthahalli,1250.0,2,2.0,1.0,625.0,61.61
Harlur,1197.0,2,2.0,1.0,598.5,113.76
Ashwathnagar,2204.0,3,2.0,0.6666666666666666,734.6666666666666,111.52
Jalahalli,1701.0,2,2.0,1.0,850.5,109.99
Bannerghatta Road,1150.0,2,2.0,1.0,575.0,102.38
Magadi Road,1116.0,2,2.0,1.0,558.0,52.36
Yemlur,1316.0,2,2.0,1.0,658.0,209.19
Medahalli,1065.0,3,3.0,1.0,355.0,46.54
KR Puram,1050.0,2,2.0,1.0,525.0,77.66
Banashankari Stage II,2400.0,3,2.0,0.6666666666666666,800.0,269.21
Haralur Road,1088.0,2,2.0,1.0,544.0,104.61
Ambedkar Nagar,1862.0,3,3.0,1.0,620.6666666666666,130.53
Marathahalli,3800.0,4,4.0,1.0,950.0,374.07
Jalahalli,1575.0,3,4.0,1.3333333333333333,525.0,104.78
Panathur,1580.0,3,3.0,1.0,526.6666666666666,149.4
Lakshminarayana Pura,1300.0,2,2.0,1.0,650.0,81.73
Narayanapura,1566.0,3,3.0,1.0,522.0,92.96
Virat Nagar,1196.0,2,2.0,1.0,598.0,57.96
Babusapalaya,1450.0,2,2.0,1.0,725.0,55.07
Whitefield,5000.0,4,4.0,1.0,1250.0,477.4
Kasturi Nagar,2507.0,4,4.0,1.0,626.75,243.1
7th Phase JP Nagar,1050.0,2,2.0,1.0,525.0,69.64
Panathur,1198.0,2,2.0,1.0,599.0,113.01
Frazer Town,2000.0,3,3.0,1.0,666.6666666666666,244.08
Horamavu Banaswadi,1156.0,2,2.0,1.0,578.0,48.64
Munivenkatppa Layout,3700.0,4,4.0,1.0,925.0,403.04
Pattandur Agrahara,1350.0,2,2.0,1.0,675.0,71.93
Bommasandra,1005.0,2,2.0,1.0,502.5,38.28
Sarjapur  Road,1346.0,2,2.0,1.0,673.0,79.7
Kudlu,2100.0,4,3.0,0.75,525.0,96.94
Whitefield,1697.0,3,3.0,1.0,565.6666666666666,154.82
Ardendale,1777.26,3,3.0,1.0,592.42,105.25
Singanayakanahalli,1500.0,3,2.0,0.6666666666666666,500.0,78.7
Haralur Road,1464.0,3,3.0,1.0,488.0,141.38
Jakkur,1482.0,3,3.0,1.0,494.0,94.85
Tumkur Road,1354.0,3,3.0,1.0,451.3333333333333,86.07
Varthur Road,900.0,2,2.0,1.0,450.0,38.89
7th Phase JP Nagar,1212.0,2,3.0,1.5,606.0,83.37
Channasandra,1104.0,2,2.0,1.0,552.0,39.29
Chennammana Kere,1035.0,2,2.0,1.0,517.5,50.91
Kothanur,1786.0,3,2.0,0.6666666666666666,595.3333333333334,93.35
Sarjapur  Road,1155.0,2,2.0,1.0,577.5,65.44
Ardendale,1777.26,3,3.0,1.0,592.42,106.49
Marathahalli,1205.0,2,2.0,1.0,602.5,101.16
Bellandur,921.0,2,2.0,1.0,460.5,91.14
Sathya Layout,1504.0,3,2.0,0.6666666666666666,501.3333333333333,104.26
Budigere,1636.0,3,3.0,1.0,545.3333333333334,82.59
Shampura,1700.0,3,3.0,1.0,566.6666666666666,83.74
Yelahanka,1445.0,2,2.0,1.0,722.5,119.62
ITI Employees Layout,1200.0,4,4.0,1.0,300.0,252.14
Sarjapur  Road,1800.0,3,3.0,1.0,600.0,103.77
Whitefield,1897.0,3,3.0,1.0,632.3333333333334,173.31
Hoodi,1925.0,3,3.0,1.0,641.6666666666666,179.45
AECS Layout,1308.0,2,2.0,1.0,654.0,65.13
Electronics City Phase 1,1028.0,2,2.0,1.0,514.0,47.84
Kanakapura,929.0,2,2.0,1.0,464.5,44.84
Vittasandra,1650.0,3,3.0,1.0,550.0,91.76
Yelahanka,1815.0,3,3.0,1.0,605.0,152.86
Haralur Road,1510.0,3,3.0,1.0,503.3333333333333,153.07
Prithvi Layout,1620.0,3,3.0,1.0,540.0,109.77
Rachenahalli,1550.0,3,3.0,1.0,516.6666666666666,82.68
Dodda Nekkundi,1370.0,2,2.0,1.0,685.0,61.62
Bannerghatta Road,1240.0,2,2.0,1.0,620.0,111.44
Ardendale,3200.0,4,4.0,1.0,800.0,184.54
Kanakpura Road,525.0,1,1.0,1.0,525.0,25.95
Bannerghatta Road,1215.0,2,2.0,1.0,607.5,110.02
Singasandra,1100.0,2,2.0,1.0,550.0,48.29
Vijayanagar,1520.0,3,2.0,0.6666666666666666,506.6666666666667,132.32
Thanisandra,777.0,1,1.0,1.0,777.0,59.74
CV Raman Nagar,1120.0,2,2.0,1.0,560.0,57.53
1st Phase JP Nagar,4550.0,4,2.0,0.5,1137.5,394.08
Anandapura,1200.0,2,2.0,1.0,600.0,52.38
Kaikondrahalli,674.0,2,1.0,0.5,337.0,42.88
Mango Garden Layout,1824.0,3,3.0,1.0,608.0,128.77
Green Glen Layout,1050.0,2,2.0,1.0,525.0,70.43
Kanakpura Road,1332.0,2,2.0,1.0,666.0,65.45
Kaggadasapura,1560.0,3,2.0,0.6666666666666666,520.0,151.66
RMV 2nd Stage,2550.0,3,4.0,1.3333333333333333,850.0,312.76
9th Phase JP Nagar,1480.0,2,2.0,1.0,740.0,70.0
Electronics City Phase 1,995.0,2,2.0,1.0,497.5,46.92
Ramamurthy Nagar,1200.0,2,2.0,1.0,600.0,59.0
Amarjyothi Colony,1100.0,2,2.0,1.0,550.0,42.7
Kasturi Nagar,1567.0,2,2.0,1.0,783.5,149.99
Basavangudi,2200.0,3,2.0,0.6666666666666666,733.3333333333334,211.95
Sarjapur  Road,1346.0,2,2.0,1.0,673.0,77.4
Vidyaranyapura,1100.0,3,2.0,0.6666666666666666,366.6666666666667,55.36
Abbigere,1005.0,2,2.0,1.0,502.5,38.69
Bannerghatta Road,1380.0,4,3.0,0.75,345.0,132.76
Bommasandra,1127.0,2,2.0,1.0,563.5,44.32
Govindraja Nagar,1065.0,2,2.0,1.0,532.5,49.41
Sarjapur  Road,975.0,2,2.0,1.0,487.5,54.44
Kaggadasapura,1240.0,2,2.0,1.0,620.0,116.75
Koramangala,1253.0,2,2.0,1.0,626.5,174.96
Whitefield,1270.0,2,2.0,1.0,635.0,114.39
Harlur,1752.12,3,3.0,1.0,584.04,177.0
Shantiniketan Layout,1500.0,2,2.0,1.0,750.0,77.62
Hennur Road,1460.0,2,2.0,1.0,730.0,84.72
2nd Phase Judicial Layout,1350.0,3,2.0,0.6666666666666666,450.0,47.45
Whitefield,1100.0,2,2.0,1.0,550.0,99.41
Yelachenahalli,1100.0,2,2.0,1.0,550.0,59.95
Iblur Village,1918.0,3,3.0,1.0,639.3333333333334,143.22
Bannerghatta Road,2700.0,4,4.0,1.0,675.0,261.93
Konanakunte,1400.0,3,2.0,0.6666666666666666,466.6666666666667,110.25
Raja Rajeshwari Nagar,1608.0,3,3.0,1.0,536.0,71.25
Vijayanagar,989.0,2,2.0,1.0,494.5,87.24
7th Phase JP Nagar,1250.0,3,3.0,1.0,416.6666666666667,84.29
Whitefield,3117.0,3,3.0,1.0,1039.0,287.98
Nyanappana Halli,1140.0,2,2.0,1.0,570.0,49.89
Hennur Road,2182.0,3,3.0,1.0,727.3333333333334,130.61
Kanakpura Road,1300.0,3,2.0,0.6666666666666666,433.3333333333333,66.05
Kodichikkanahalli,450.0,1,1.0,1.0,450.0,18.91
Sarjapur  Road,1881.0,3,3.0,1.0,627.0,115.4
HAL 2nd Stage,1490.0,3,2.0,0.6666666666666666,496.6666666666667,312.3
Gottigere,1100.0,2,2.0,1.0,550.0,47.62
Thigalarapalya,2072.0,3,4.0,1.3333333333333333,690.6666666666666,164.7
Kanakpura Road,1366.0,2,3.0,1.5,683.0,66.14
Bisuvanahalli,845.0,2,2.0,1.0,422.5,31.63
7th Phase JP Nagar,3600.0,4,4.0,1.0,900.0,248.15
Nagappa Reddy Layout,1200.0,2,2.0,1.0,600.0,51.68
Raja Rajeshwari Nagar,1571.0,3,3.0,1.0,523.6666666666666,67.41
Indira Nagar,2800.0,3,3.0,1.0,933.3333333333334,332.14
Doddathoguru,550.0,1,1.0,1.0,550.0,19.52
2nd Phase JP Nagar,1070.0,2,2.0,1.0,535.0,76.86
Bommasandra,1260.0,3,3.0,1.0,420.0,50.9
Whitefield,1500.0,5,6.0,1.2,300.0,141.14
Bellandur,1830.0,3,3.0,1.0,610.0,190.94
Somasundara Palya,1178.0,2,2.0,1.0,589.0,57.73
Kanakpura Road,1450.0,3,3.0,1.0,483.3333333333333,71.21
Horamavu Banaswadi,1611.0,3,3.0,1.0,537.0,68.24
Kereguddadahalli,1280.0,3,3.0,1.0,426.6666666666667,42.38
Akshaya Nagar,1000.0,2,2.0,1.0,500.0,82.2
Electronic City,1400.0,3,2.0,0.6666666666666666,466.6666666666667,89.84
Volagerekallahalli,1070.0,2,2.0,1.0,535.0,32.04
Electronic City,940.0,2,2.0,1.0,470.0,52.43
Mallasandra,1325.0,2,2.0,1.0,662.5,66.93
Varthur Road,1247.0,3,2.0,0.6666666666666666,415.6666666666667,53.52
Rajaji Nagar,660.0,1,1.0,1.0,660.0,87.49
Bhoganhalli,804.1,2,2.0,1.0,402.05,45.04
Bisuvanahalli,1075.0,3,2.0,0.6666666666666666,358.3333333333333,45.59
Cholanayakanahalli,750.0,1,2.0,2.0,750.0,51.44
Akshaya Nagar,1300.0,2,2.0,1.0,650.0,101.91
Hegde Nagar,2087.01,3,4.0,1.3333333333333333,695.6700000000001,144.36
Nagarbhavi,1020.0,2,2.0,1.0,510.0,87.77
KR Puram,1020.0,2,2.0,1.0,510.0,73.09
Prithvi Layout,1352.0,2,3.0,1.5,676.0,84.66
Cooke Town,565.0,1,1.0,1.0,565.0,72.22
Sarjapur  Road,1346.0,2,2.0,1.0,673.0,76.01
Sarjapur  Road,1112.0,2,2.0,1.0,556.0,67.85
Basaveshwara Nagar Yelahanka,1680.0,3,3.0,1.0,560.0,90.18
Udayapur Village,1170.0,2,2.0,1.0,585.0,51.15
Hosur Road,1170.0,2,2.0,1.0,585.0,94.7
Harlur,1459.0,3,3.0,1.0,486.3333333333333,143.78
Hormavu,1141.0,2,2.0,1.0,570.5,55.45
Bommasandra,1365.0,3,3.0,1.0,455.0,51.53
Electronic City Phase II,1220.0,3,2.0,0.6666666666666666,406.6666666666667,37.55
Gottigere,1500.0,5,4.0,0.8,300.0,68.28
Singasandra,1653.0,3,3.0,1.0,551.0,85.05
Jigani,1231.0,3,3.0,1.0,410.3333333333333,69.85
Rayasandra,540.0,1,1.0,1.0,540.0,23.39
Whitefield,1187.0,2,2.0,1.0,593.5,109.26
2nd Stage Nagarbhavi,1200.0,4,4.0,1.0,300.0,197.28
Banashankari Stage III,3000.0,6,6.0,1.0,500.0,179.43
Jalahalli,1083.0,2,2.0,1.0,541.5,64.07
Kadubeesanahalli,970.0,2,2.0,1.0,485.0,108.0
Chandapura,1190.0,3,2.0,0.6666666666666666,396.6666666666667,74.8
Thanisandra,1220.0,2,2.0,1.0,610.0,97.93
Maragondanahalli,1095.0,2,2.0,1.0,547.5,53.25
Whitefield,524.0,1,1.0,1.0,524.0,44.41
4th Block Jayanagar,1567.2,3,2.0,0.6666666666666666,522.4,188.97
Hoodi,1108.0,2,2.0,1.0,554.0,98.65
Banashankari Stage II,2800.0,5,3.0,0.6,560.0,336.42
Electronic City,825.0,2,2.0,1.0,412.5,49.33
Whitefield,1256.0,2,2.0,1.0,628.0,109.05
Harlur,1630.0,3,3.0,1.0,543.3333333333334,160.33
Varthur,1105.0,2,2.0,1.0,552.5,93.87
Jakkur Plantation,1717.0,3,3.0,1.0,572.3333333333334,111.6
Banashankari Stage V,920.0,2,2.0,1.0,460.0,34.36
Electronics City Phase 1,2040.0,3,3.0,1.0,680.0,104.79
Kanakpura Road,3170.0,4,4.0,1.0,792.5,158.79
Kaval Byrasandra,480.0,1,1.0,1.0,480.0,22.38
Electronic City,1140.0,2,2.0,1.0,570.0,69.88
Thanisandra,1226.0,2,2.0,1.0,613.0,100.03
Old Madras Road,3715.0,4,6.0,1.5,928.75,245.82
Basavanapura,1135.0,2,2.0,1.0,567.5,49.97
Ambedkar Nagar,3500.0,4,4.0,1.0,875.0,246.61
Chandapura,645.0,1,1.0,1.0,645.0,36.69
Thanisandra,1185.0,2,2.0,1.0,592.5,95.5
Dodda Banaswadi,1300.0,3,2.0,0.6666666666666666,433.3333333333333,61.79
Ambedkar Nagar,1852.0,3,3.0,1.0,617.3333333333334,126.21
Raja Rajeshwari Nagar,1196.0,2,2.0,1.0,598.0,47.76
12th cross srinivas nagar banshankari 3rd stage,1800.0,1,1.0,1.0,1800.0,189.32
Electronic City Phase II,1800.0,3,3.0,1.0,600.0,53.82
Nagavara,1077.0,2,2.0,1.0,538.5,50.02
"Sarjapur Road, ",1275.0,2,2.0,1.0,637.5,68.98
8th Phase JP Nagar,451.0,1,1.0,1.0,451.0,19.27
Chikkasandra,1070.0,2,2.0,1.0,535.0,96.74
Electronic City Phase II,1320.0,3,2.0,0.6666666666666666,440.0,37.78
Sarjapura - Attibele Road,1330.0,3,2.0,0.6666666666666666,443.3333333333333,47.35
Garebhavipalya,1275.0,3,3.0,1.0,425.0,70.71
Whitefield,1116.0,2,2.0,1.0,558.0,99.29
Electronic City Phase II,630.0,1,1.0,1.0,630.0,17.78
Banashankari,1040.0,2,2.0,1.0,520.0,87.53
Hebbal,2375.0,4,4.0,1.0,593.75,256.71
Wilson Garden,1655.0,3,3.0,1.0,551.6666666666666,166.92
Hoodi,1420.0,2,2.0,1.0,710.0,123.81
Sarjapur,1600.0,3,3.0,1.0,533.3333333333334,149.33
Anjanapura,1070.0,2,2.0,1.0,535.0,39.54
Marenahalli,840.0,1,1.0,1.0,840.0,64.44
Kundalahalli,1397.0,3,3.0,1.0,465.6666666666667,105.71
KR Puram,1142.0,2,2.0,1.0,571.0,75.95
Harlur,1152.0,2,2.0,1.0,576.0,103.5
2nd Block Hrbr Layout,4273.0,3,3.0,1.0,1424.3333333333333,319.62
Kengeri,750.0,2,2.0,1.0,375.0,47.08
Chandapura,630.0,2,1.0,0.5,315.0,39.54
Naidu Layout,1485.0,3,3.0,1.0,495.0,84.33
Bahubali Nagar,1575.0,5,4.0,0.8,315.0,161.14
Whitefield,1800.0,4,4.0,1.0,450.0,176.2
Kengeri,725.0,2,2.0,1.0,362.5,45.26
Ananth Nagar,500.0,1,1.0,1.0,500.0,13.28
B Narayanapura,1460.0,3,2.0,0.6666666666666666,486.6666666666667,72.12
Keshava Nagar,1839.0,3,3.0,1.0,613.0,151.55
Harlur,1310.0,2,2.0,1.0,655.0,127.48
Kadugodi,3000.0,4,4.0,1.0,750.0,254.13
Nagasandra,4000.0,8,8.0,1.0,500.0,273.24
Mico Layout,1140.0,2,2.0,1.0,570.0,40.47
Varthur,1450.0,3,3.0,1.0,483.3333333333333,134.39
Kengeri,1052.0,2,2.0,1.0,526.0,64.53
Raja Rajeshwari Nagar,3900.0,6,6.0,1.0,650.0,188.21
Hallehalli,1225.0,2,2.0,1.0,612.5,57.26
Indira Nagar,1650.0,3,3.0,1.0,550.0,195.34
HBR Layout,1200.0,4,4.0,1.0,300.0,122.48
Kothanur,1365.0,3,3.0,1.0,455.0,70.65
Hennur Road,1450.0,2,2.0,1.0,725.0,86.07
Veerannapalya,1488.0,3,3.0,1.0,496.0,64.62
Yeshwanthpur,1164.0,2,2.0,1.0,582.0,61.04
Bannerghatta Road,1181.0,2,2.0,1.0,590.5,102.26
Banagiri Nagar,1525.0,3,2.0,0.6666666666666666,508.3333333333333,126.58
Mysore Road,1082.0,3,3.0,1.0,360.6666666666667,57.93
Varthur Road,1140.0,2,2.0,1.0,570.0,49.27
Jaya Nagar East,3095.0,3,3.0,1.0,1031.6666666666667,351.96
Banashankari,1430.0,2,2.0,1.0,715.0,117.29
Kanakpura Road,525.0,1,1.0,1.0,525.0,26.13
adigondanhalli,1200.0,2,1.0,0.5,600.0,39.43
Electronic City,1220.0,3,2.0,0.6666666666666666,406.6666666666667,75.02
Mysore Road,1525.0,3,3.0,1.0,508.3333333333333,77.45
Srirampura,1756.0,3,3.0,1.0,585.3333333333334,86.62
Sahakara Nagar,1200.0,3,2.0,0.6666666666666666,400.0,75.73
BTM 1st Stage,1717.0,3,3.0,1.0,572.3333333333334,209.25
7th Phase JP Nagar,1100.0,2,2.0,1.0,550.0,74.73
Hennur Road,1654.0,3,3.0,1.0,551.3333333333334,97.57
NGR Layout,1020.0,2,2.0,1.0,510.0,46.98
Bannerghatta Road,1022.0,2,2.0,1.0,511.0,91.35
Chikkasandra,1200.0,4,4.0,1.0,300.0,105.5
Yelahanka New Town,650.0,1,1.0,1.0,650.0,32.03
Subramanyapura,1880.0,3,3.0,1.0,626.6666666666666,104.34
Yelahanka,1664.0,3,3.0,1.0,554.6666666666666,138.41
Marathahalli,1840.0,3,3.0,1.0,613.3333333333334,169.85
Sector 6 HSR Layout,3000.0,4,5.0,1.25,750.0,413.19
Vittasandra,1743.0,3,3.0,1.0,581.0,89.02
Tumkur Road,1060.0,3,2.0,0.6666666666666666,353.3333333333333,67.31
Balagere,656.0,1,1.0,1.0,656.0,40.55
Subramanyapura,1255.0,3,2.0,0.6666666666666666,418.3333333333333,72.26
Begur Road,1410.0,3,2.0,0.6666666666666666,470.0,99.26
Kanakpura Road,1252.0,2,2.0,1.0,626.0,62.46
BTM Layout,1196.0,2,2.0,1.0,598.0,116.6
basaveshwarnagar,1250.0,3,2.0,0.6666666666666666,416.6666666666667,74.08
Kanakapura,1290.0,3,2.0,0.6666666666666666,430.0,62.14
RR Layout,1700.0,3,3.0,1.0,566.6666666666666,119.44
Hormavu,1200.0,2,2.0,1.0,600.0,55.42
Ittamadu,1080.0,2,2.0,1.0,540.0,54.38
Sarjapur  Road,3044.0,3,3.0,1.0,1014.6666666666666,186.87
Gopalapura,1950.2,3,3.0,1.0,650.0666666666667,274.2
Kodigehalli,1200.0,2,2.0,1.0,600.0,99.62
Yelahanka New Town,1541.0,3,3.0,1.0,513.6666666666666,79.39
Uttarahalli,1200.0,4,4.0,1.0,300.0,48.79
2nd Phase Judicial Layout,1150.0,2,2.0,1.0,575.0,39.28
New Gurappana Palya,1100.0,2,2.0,1.0,550.0,59.36
Ananth Nagar,1319.0,3,3.0,1.0,439.6666666666667,39.1
Rajaji Nagar,1613.0,3,3.0,1.0,537.6666666666666,230.74
Koramangala Industrial Layout,5000.0,4,5.0,1.25,1250.0,454.1
6th Phase JP Nagar,1250.0,3,3.0,1.0,416.6666666666667,85.26
Sarjapur,1020.0,2,2.0,1.0,510.0,89.94
Thanisandra,933.0,1,2.0,2.0,933.0,74.05
Budigere,764.0,1,1.0,1.0,764.0,35.76
Arekere,1445.0,3,2.0,0.6666666666666666,481.6666666666667,116.87
Sarjapur  Road,1130.0,2,2.0,1.0,565.0,69.82
Marathahalli,1146.0,2,2.0,1.0,573.0,96.69
Kasavanhalli,1181.0,2,2.0,1.0,590.5,62.44
Kanakpura Road,1200.0,2,2.0,1.0,600.0,63.16
Gollahalli,1600.0,2,2.0,1.0,800.0,69.28
Hosakerehalli,1596.0,3,3.0,1.0,532.0,156.33
6th Phase JP Nagar,1140.0,2,2.0,1.0,570.0,75.14
Bannerghatta Road,1105.0,2,2.0,1.0,552.5,98.27
Horamavu Agara,1145.0,2,2.0,1.0,572.5,47.33
Hebbal,1645.0,3,3.0,1.0,548.3333333333334,170.72
Sarjapur  Road,3200.0,4,4.0,1.0,800.0,187.49
Old Madras Road,1300.0,2,2.0,1.0,650.0,71.42
Hosa Road,1104.0,2,2.0,1.0,552.0,49.76
Dasanapura,966.0,2,2.0,1.0,483.0,48.11
Mysore Road,1360.0,3,3.0,1.0,453.3333333333333,72.3
Hoskote,1250.0,3,3.0,1.0,416.6666666666667,44.81
Marathahalli,1693.0,3,3.0,1.0,564.3333333333334,163.92
Koramangala,6000.0,4,4.0,1.0,1500.0,907.08
Bannerghatta Road,1527.0,3,3.0,1.0,509.0,147.65
Raja Rajeshwari Nagar,1608.0,3,3.0,1.0,536.0,71.85
Whitefield,1140.0,2,2.0,1.0,570.0,101.93
Bannerghatta Road,1012.0,2,2.0,1.0,506.0,89.69
Yeshwanthpur,1170.0,2,2.0,1.0,585.0,62.43
JP Nagar,1275.0,3,2.0,0.6666666666666666,425.0,115.88
Kaggadasapura,1350.0,3,3.0,1.0,450.0,128.25
Jayanti Nagar,760.0,2,2.0,1.0,380.0,47.2
Ejipura,1200.0,2,2.0,1.0,600.0,120.1
Kamakya Layout,2400.0,4,3.0,0.75,600.0,181.56
NGR Layout,1020.0,2,2.0,1.0,510.0,45.02
Lakshmi Layout,1390.0,3,3.0,1.0,463.3333333333333,123.54
Uttarahalli,1045.0,2,2.0,1.0,522.5,39.35
Sarjapur  Road,1242.0,2,2.0,1.0,621.0,69.18
kanakapura road,1375.0,3,2.0,0.6666666666666666,458.3333333333333,49.32
Bhoganhalli,1949.0,3,3.0,1.0,649.6666666666666,107.18
Parappana Agrahara,1200.0,4,3.0,0.75,300.0,48.98
Kannur,1200.0,3,2.0,0.6666666666666666,400.0,53.71
Mysore Road,900.0,2,2.0,1.0,450.0,45.9
Sarjapur  Road,1115.0,2,2.0,1.0,557.5,63.43
Thubarahalli,1200.0,2,2.0,1.0,600.0,72.78
Ganga Nagar,845.0,2,2.0,1.0,422.5,52.13
Kogilu,1200.0,2,2.0,1.0,600.0,52.66
Kudlu,1027.0,2,2.0,1.0,513.5,46.3
Sultan Palaya,1765.0,3,3.0,1.0,588.3333333333334,104.74
Choodasandra,1115.0,2,2.0,1.0,557.5,55.0
Bisuvanahalli,850.0,2,2.0,1.0,425.0,33.0
Garudachar Palya,1154.0,2,2.0,1.0,577.0,53.3
Malleshwaram,2050.0,3,4.0,1.3333333333333333,683.3333333333334,258.4
Rajaji Nagar,3516.0,4,4.0,1.0,879.0,517.38
Malleshpalya,1225.0,2,2.0,1.0,612.5,55.24
Bharathi Nagar,1300.0,2,2.0,1.0,650.0,61.32
Electronic City Phase II,1205.0,2,2.0,1.0,602.5,35.5
Kuvempu Nagar,1375.0,2,2.0,1.0,687.5,76.61
Marathahalli,1730.0,3,3.0,1.0,576.6666666666666,162.6
5th Phase JP Nagar,1080.0,2,2.0,1.0,540.0,52.89
Electronic City,1518.0,3,3.0,1.0,506.0,95.03
Marathahalli,1530.0,3,3.0,1.0,510.0,144.6
Old Madras Road,3630.0,4,6.0,1.5,907.5,229.52
Marathahalli,1135.0,2,2.0,1.0,567.5,111.48
Lakshminarayana Pura,1200.0,2,2.0,1.0,600.0,79.33
Whitefield,1650.0,3,3.0,1.0,550.0,153.83
Jakkur,1291.0,2,2.0,1.0,645.5,82.95
Vaderahalli,2300.0,4,4.0,1.0,575.0,174.98
Attur Layout,3000.0,6,8.0,1.3333333333333333,500.0,194.13
Ashok Nagar,703.0,2,2.0,1.0,351.5,154.71
Hebbal,1100.0,2,2.0,1.0,550.0,110.5
Rajaji Nagar,1357.0,2,2.0,1.0,678.5,190.16
Uttarahalli,1330.0,3,2.0,0.6666666666666666,443.3333333333333,52.81
Rajankunte,4510.0,3,4.0,1.3333333333333333,1503.3333333333333,292.47
Bellandur,1398.0,3,3.0,1.0,466.0,142.39
Banashankari Stage III,1350.0,1,1.0,1.0,1350.0,66.31
KR Puram,1200.0,4,4.0,1.0,300.0,84.98
Hosur Road,1510.0,3,2.0,0.6666666666666666,503.3333333333333,122.85
Sarjapur,2020.0,3,3.0,1.0,673.3333333333334,181.48
Pai Layout,1100.0,2,2.0,1.0,550.0,47.11
KR Puram,1100.0,2,2.0,1.0,550.0,78.84
5th Phase JP Nagar,1150.0,2,3.0,1.5,575.0,56.13
